"Cluster","Metabolite","Formula","Super_Class","Class","Sub_Class","HMDB","pct.1","pct.2","avg_log2FC","p_val","p_val_adj"
"心外膜 Epicardium","(-)-Aspidospermine","C22H30N2O2","Alkaloids and derivatives","Aspidospermatan-type alkaloids",NA,"HMDB0030361",86.6266863986784,99.584289955401,-0.882872126200597,0,0
"心外膜 Epicardium","(-)-Bremazocine","C20H29NO2","Alkaloids and derivatives","6,7-benzomorphans","4-hydroxy-6,7-benzomorphans","HMDB0242204",36.5630162444934,64.6923691838948,-0.333225613765592,0,0
"心外膜 Epicardium","(-)-Fumigaclavine B","C16H20N2O","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0030201",95.2178551762115,99.9262515039041,-0.581636355573089,0,0
"心外膜 Epicardium","(-)-Gallocatechin gallate","C22H18O11","Phenylpropanoids and polyketides","Flavonoids","Flavans","HMDB0243513",93.3000068832599,90.1868743826255,0.318001192642558,0,0
"心外膜 Epicardium","(-)-Huperzine A (HupA)","C15H18N2O","Organoheterocyclic compounds","Quinolines and derivatives","Quinolones and derivatives","HMDB0242212",94.6258948237885,99.9212721346422,-0.584332862641844,0,0
"心外膜 Epicardium","(-)-Ibogaine","C20H26N2O","Alkaloids and derivatives","Ibogan-type alkaloids",NA,"HMDB0242213",66.4664785242291,94.5994030139988,-0.408929159363915,0,0
"心外膜 Epicardium","(-)-Morphinan","C16H21N","Alkaloids and derivatives","Morphinans",NA,"HMDB0242217",87.9792469713656,99.7422839963072,-0.54018180188429,0,0
"心外膜 Epicardium","(-)-Quebrachamine","C19H26N2","Alkaloids and derivatives","Quebrachamine alkaloids",NA,"HMDB0030260",59.1753854625551,94.692530676952,-0.32831800057457,0,0
"心外膜 Epicardium","(-)-Slaframine","C10H18N2O2","Organoheterocyclic compounds","Indolizidines",NA,"HMDB0243523",50.9051486784141,85.1523283261514,-0.329395467656295,0,0
"心外膜 Epicardium","((2R,3S)-3-Amino-2-hydroxy-2-(1H-imidazol-4-ylmethyl)-5-methyl)-5-methylhexanoic Acid","C11H19N3O3","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0242228",93.688050660793,99.886954859999,-0.566082750489596,0,0
"心外膜 Epicardium","(+)-Chebulic acid","C14H12O11","Organic acids and derivatives","Carboxylic acids and derivatives","Tetracarboxylic acids and derivatives","HMDB0036617",84.2399160242291,80.6772211351347,0.18656115158149,0,0
"心外膜 Epicardium","(+)-Gallocatechin","C15H14O7","Phenylpropanoids and polyketides","Flavonoids","Flavans","HMDB0038365",95.1662307268722,92.0721712472378,0.152067934353212,0,0
"心外膜 Epicardium","(+)-Setoclavine","C16H18N2O","Alkaloids and derivatives","Ergoline and derivatives","Clavines and derivatives","HMDB0033428",89.9349531938326,99.7455138574501,-0.576780073921009,0,0
"心外膜 Epicardium","(1-{3-[6-(9,9-Difluoro-7-{2-[5-(2-methoxycarbonylamino-3-methyl-butyryl)-5-aza-spiro[2.4]hept-6-yl]-3H-imidazol-4-yl}-9H-fluoren-2-yl)-1H-benzoimidazol-2-yl]-2-aza-bicyclo[2.2.1]heptane-2-carbonyl}-2-methyl-propyl)-carbamic acid methyl ester","C49H54F2N8O6","Benzenoids","Fluorenes",NA,"HMDB0242282",40.1646819933921,49.6379863969015,-0.156539190188878,0,0
"心外膜 Epicardium","(1-Hydroxy-3-oxopropan-2-yl) dihydrogen phosphate","C3H7O6P","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","HMDB0242284",99.7986646475771,99.9903104165713,-0.349473473343922,0,0
"心外膜 Epicardium","(10E,15Z)-9,12,13-Trihydroxyoctadeca-10,15-dienoylcarnitine","C25H45NO7","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","HMDB0241542",49.7831773127753,83.5988996939707,-0.337330485649713,0,0
"心外膜 Epicardium","(11S,14S,17R,20S,23R)-20-Benzyl-17-[3-(diaminomethylideneamino)propyl]-14-(1H-indol-3-ylmethyl)-2,5,13,16,19,22-hexaoxo-1,6,12,15,18,21-hexazabicyclo[21.3.0]hexacosane-11-carboxamide","C41H55N11O7","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0260063",20.0973981277533,31.8154780329069,-0.183650924880146,0,0
"心外膜 Epicardium","(1R,4E,6S,7S,17R)-4-Ethylidene-7-hydroxy-7-(hydroxymethyl)-6-methyl-2,9-dioxa-14-azatricyclo[9.5.1.014,17]heptadec-11-ene-3,8-dione","C18H25NO6","Phenylpropanoids and polyketides","Macrolides and analogues",NA,"HMDB0242334",94.662892345815,96.460610497587,-0.0917846321658934,0,0
"心外膜 Epicardium","(1R,4R,5S,6R)-4-Amino-2-oxabicyclo[3.1.0]hexane-4,6-dicarboxylic acid","C7H9NO5","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0242337",99.2488642621145,97.3647024625,0.22019848736792,0,0
"心外膜 Epicardium","(1R,9S,10S)-7,15-Diazatetracyclo[7.7.1.02,7.010,15]heptadeca-2,4-dien-6-one","C15H20N2O","Alkaloids and derivatives","Lupin alkaloids","Anagyrine-type alkaloids","HMDB0242345",93.3628166299559,99.8718821746655,-0.556835432682989,0,0
