"Cluster","Metabolite","Formula","Super_Class","Class","Sub_Class","HMDB","pct.1","pct.2","avg_log2FC","p_val","p_val_adj"
"粘膜下（Submucosa）","(-)-Aspidospermine","C22H30N2O2","Alkaloids and derivatives","Aspidospermatan-type alkaloids",NA,"HMDB0030361",99.4726347762891,99.1703746232238,0.132722254295859,0,0
"粘膜下（Submucosa）","(-)-erythro-Anethole glycol 1-glucoside","C16H24O8","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","HMDB0033066",92.4193578443248,91.085976747524,0.09891369045874,0,0
"粘膜下（Submucosa）","(-)-Fumigaclavine B","C16H20N2O","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0030201",100,99.9712932395579,0.161096996324361,0,0
"粘膜下（Submucosa）","(-)-Huperzine A (HupA)","C15H18N2O","Organoheterocyclic compounds","Quinolines and derivatives","Quinolones and derivatives","HMDB0242212",99.9944095559324,99.963829481843,0.1430374409249,0,0
"粘膜下（Submucosa）","(-)-Ibogaine","C20H26N2O","Alkaloids and derivatives","Ibogan-type alkaloids",NA,"HMDB0242213",93.2672418612452,90.3637146548012,0.0878987759657678,0,0
"粘膜下（Submucosa）","(-)-Morphinan","C16H21N","Alkaloids and derivatives","Morphinans",NA,"HMDB0242217",99.9645938542385,99.7709200516722,0.134757207571111,0,0
"粘膜下（Submucosa）","(-)-Slaframine","C10H18N2O2","Organoheterocyclic compounds","Indolizidines",NA,"HMDB0243523",93.3492350409034,90.6829338309172,0.0437843122526123,0,0
"粘膜下（Submucosa）","((2R,3S)-3-Amino-2-hydroxy-2-(1H-imidazol-4-ylmethyl)-5-methyl)-5-methylhexanoic Acid","C11H19N3O3","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0242228",99.9869556305089,99.9402899382805,0.126348575776501,0,0
"粘膜下（Submucosa）","(+-)-(4Ar*,10R*,10aS*)-8-Chloro-1,2,3,4,10,10a-hexahydro-2-methyl-4a,10-(iminoethano)-4aH-(1)benzopyrano(3,2-c)pyridin-12-one","C15H17ClN2O2","Organoheterocyclic compounds","Diazanaphthalenes","Naphthyridines","HMDB0242234",99.9925460745765,99.9799052676905,0.108184555806009,0,0
"粘膜下（Submucosa）","(+)-Setoclavine","C16H18N2O","Alkaloids and derivatives","Ergoline and derivatives","Clavines and derivatives","HMDB0033428",99.3720067830721,98.0117697717813,0.118129527039259,0,0
"粘膜下（Submucosa）","(±)-2-(1-Methylpropyl)-4,6-dinitrophenol","C10H12N2O5","Benzenoids","Phenols","Nitrophenols","HMDB0032559",93.8784637459702,92.4828477106359,0.0689522780021826,0,0
"粘膜下（Submucosa）","(1‐{[1‐carboxylato‐3‐(trimethylammonio)propan‐2‐ yl]oxy}‐1‐oxoicosa‐5,7,11,14‐tetraen‐9‐yl)peroxy","C27H44NO6","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","HMDB0241798",82.0677189124723,88.3284053394574,-0.216578733737497,0,0
