"Cluster","Metabolite","Formula","Super_Class","Class","Sub_Class","HMDB","pct.1","pct.2","avg_log2FC","p_val","p_val_adj"
"肝实质 Hepatic Parenchyma","(-)-erythro-Anethole glycol 1-glucoside","C16H24O8","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","HMDB0033066",99.9374373796651,99.9740016960798,-0.683133671667413,0,0
"肝实质 Hepatic Parenchyma","(+)-Chebulic acid","C14H12O11","Organic acids and derivatives","Carboxylic acids and derivatives","Tetracarboxylic acids and derivatives","HMDB0036617",65.9502361681203,58.6199852676278,0.126455899608297,0,0
"肝实质 Hepatic Parenchyma","(1-((2-Methoxy-4-(((phenylsulfonyl)amino)carbonyl)phenyl)methyl)-1H-indazol-6-yl)carbamic acid cyclopentyl ester","C28H28N4O6S","Benzenoids","Benzene and substituted derivatives","Benzenesulfonamides","HMDB0242277",82.1629583115942,76.0202786770577,0.15461530083924,0,0
"肝实质 Hepatic Parenchyma","(1-Methyl-2,3-dihydropyridin-6-ylidene)hydrazine","C6H11N3","Organoheterocyclic compounds","Pyridines and derivatives","Hydropyridines","HMDB0242286",82.0639200675953,75.0069638314072,0.0390745724966546,0,0
"肝实质 Hepatic Parenchyma","(1,10,11,12,14,23-Hexahydroxy-6,10,19-trimethyl-24-oxa-4-azaheptacyclo[12.12.0.02,11.04,9.015,25.018,23.019,25]hexacosan-22-yl) 3,4-dimethoxybenzoate","C36H51NO11","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroidal alkaloids","HMDB0242290",96.1033414441577,94.0587685470043,0.0923052795812429,0,0
"肝实质 Hepatic Parenchyma","(10E,13E)-Nonadeca-10,13-dienoylcarnitine","C26H47NO4","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","HMDB0241565",59.2020149319199,59.2358974676414,-0.0422738274324698,0,0
"肝实质 Hepatic Parenchyma","(11S,14S,17R,20S,23R)-20-Benzyl-17-[3-(diaminomethylideneamino)propyl]-14-(1H-indol-3-ylmethyl)-2,5,13,16,19,22-hexaoxo-1,6,12,15,18,21-hexazabicyclo[21.3.0]hexacosane-11-carboxamide","C41H55N11O7","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0260063",79.5039315181709,71.0657447585562,0.109716698071132,0,0
"肝实质 Hepatic Parenchyma","(1R,4R,5S,6R)-4-Amino-2-oxabicyclo[3.1.0]hexane-4,6-dicarboxylic acid","C7H9NO5","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0242337",96.4999561369083,97.8458548180428,-0.114740114329739,0,0
"肝实质 Hepatic Parenchyma","(1S,2R,3R,4R,5R,6S,7S,8R,9R,10R,13R,14R,16S,17S,18R)-6,16,18-Trimethoxy-13-(methoxymethyl)-11-methyl-11-azahexacyclo[7.7.2.12,5.01,10.03,8.013,17]nonadecane-4,5,7,8,14-pentol","C24H39NO9","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids","HMDB0242427",93.6195361593477,91.1197221895524,0.0955427948692731,0,0
"肝实质 Hepatic Parenchyma","(1S,3S)-(R)-Cyano(3-phenoxyphenyl)methyl 3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate","C22H19Cl2NO3","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","HMDB0243566",97.2121542318649,90.7229385511517,0.161398052640588,0,0
"肝实质 Hepatic Parenchyma","(1xi,3S)-1,2,3,4-Tetrahydro-1-methyl-beta-carboline-1,3-dicarboxylic acid","C14H14N2O4","Alkaloids and derivatives","Harmala alkaloids",NA,"HMDB0035115",90.9224177336171,92.3985911395304,-0.08158008908962,0,0
"肝实质 Hepatic Parenchyma","(2-Amino-6-oxo-1H-purin-9-yl) dihydrogen phosphate","C5H6N5O5P","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","HMDB0242464",99.4233157727061,97.9838934317142,0.0625557347183094,0,0
"肝实质 Hepatic Parenchyma","(25S)-Spirostane-3b,5b,6a-triol 3-[4''-rhamnosylglucoside]","C39H64O14","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroidal glycosides","HMDB0035488",98.8807985852999,96.2952416913754,0.192680407521196,0,0
"肝实质 Hepatic Parenchyma","(2E,6E)-1-Hydroxy-2,6,10-farnesatrien-9-one","C15H24O2","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids","HMDB0030891",99.833089392981,87.9931166395335,0.19775671049474,0,0
