"Cluster","Metabolite","Formula","Super_Class","Class","Sub_Class","HMDB","pct.1","pct.2","avg_log2FC","p_val","p_val_adj"
"终末细支气管 Terminal Bronchiole","(-)-Fumigaclavine B","C16H20N2O","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0030201",99.6016237995698,99.6651132974373,-0.118624594316307,0,0
"终末细支气管 Terminal Bronchiole","(-)-Quebrachamine","C19H26N2","Alkaloids and derivatives","Quebrachamine alkaloids",NA,"HMDB0030260",85.5796903874701,80.8303899796237,0.0422309698710392,0,0
"终末细支气管 Terminal Bronchiole","(-)-Tylophorine","C24H27NO4","Benzenoids","Phenanthrenes and derivatives","Phenanthroindolizidines","HMDB0242221",52.4447877851495,47.6533995475179,0.080064646757409,0,0
"终末细支气管 Terminal Bronchiole","(+)-Limonene","C10H16","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","HMDB0003375",67.1316913569027,70.4467167990742,-0.0870692787474138,0,0
"终末细支气管 Terminal Bronchiole","(+)-Pinoresinol 4-O-[beta-D-Glucopyranosyl-(1->2)-[beta-D-glucopyranosyl-(1->6)]-beta-D-glucopyranoside]","C38H52O21","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","HMDB0040669",73.7995698142931,79.3533710332368,-0.0692998524129346,0,0
"终末细支气管 Terminal Bronchiole","(+)-Setoclavine","C16H18N2O","Alkaloids and derivatives","Ergoline and derivatives","Clavines and derivatives","HMDB0033428",97.952073676876,97.6438254093464,-0.168725344188071,0,0
"终末细支气管 Terminal Bronchiole","(±)-Leptophos","C13H10BrCl2O2PS","Benzenoids","Benzene and substituted derivatives","Phenylphosphonothioates","HMDB0031798",49.6198006604259,57.9513217514013,-0.075381080608678,0,0
"终末细支气管 Terminal Bronchiole","(1-Hydroxy-3-oxopropan-2-yl) dihydrogen phosphate","C3H7O6P","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","HMDB0242284",99.9409252022176,99.6594936945975,0.266277925515638,0,0
"终末细支气管 Terminal Bronchiole","(1,10,11,12,14,23-Hexahydroxy-6,10,19-trimethyl-24-oxa-4-azaheptacyclo[12.12.0.02,11.04,9.015,25.018,23.019,25]hexacosan-22-yl) 3,4-dimethoxybenzoate","C36H51NO11","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroidal alkaloids","HMDB0242290",72.1924323669302,57.2834215472224,0.226136517931164,0,0
"终末细支气管 Terminal Bronchiole","(10E,15Z)-9,12,13-Trihydroxyoctadeca-10,15-dienoylcarnitine","C25H45NO7","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","HMDB0241542",75.6945075585446,77.8090209194919,-0.0629916076236893,0,0
"终末细支气管 Terminal Bronchiole","(1R,4R,4'R,5S,5'S,6R,6'S,7R,9R,11R,12R,13S,14S)-12-[(3R,4S,6R)-4-(Dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-4-ethyl-5,5',6,11-tetrahydroxy-4'-methoxy-4',5,6',7,9,11,13-heptamethylspiro[3,15,17-trioxabicyclo[12.4.0]octadecane-16,2'-oxane]-2,8-dione","C37H65NO14","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","HMDB0242335",93.7850283256082,96.3279017443664,-0.208557428763321,0,0
"终末细支气管 Terminal Bronchiole","(1R,4R,5S,6R)-4-Amino-2-oxabicyclo[3.1.0]hexane-4,6-dicarboxylic acid","C7H9NO5","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0242337",99.4865036808143,99.834742049823,-0.0555167352712852,0,0
