"Cluster","Metabolite","Formula","Super_Class","Class","Sub_Class","HMDB","pct.1","pct.2","avg_log2FC","p_val","p_val_adj"
"中区 Middle cortex","(2R)-2-Amino-3-(1,2-dichloroethenylsulfanyl)propanoic acid","C5H7Cl2NO2S","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0242510",60.6219669208676,78.8831620870846,-0.142915812547264,0,0
"中区 Middle cortex","(5S,8S,10Ar)-N-benzhydryl-5-((S)-2-(methylamino)propanamido)-3-(3-methylbutanoyl)-6-oxodecahydropyrrolo[1,2-a][1,5]diazocine-8-carboxamide","C32H43N5O4","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0248685",88.1449935624443,79.8537434318418,0.167869028253657,0,0
"中区 Middle cortex","(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)","C7H7IO","Benzenoids","Phenol ethers","Anisoles","HMDB0062252",88.580766564326,90.5184243113893,-0.203010979609763,0,0
"中区 Middle cortex","(Z)-4-(1-{4-[2-(Dimethylamino)ethoxy]phenyl}-5-hydroxy-2-phenylpent-1-enyl)phenol","C27H31NO3","Phenylpropanoids and polyketides","Stilbenes",NA,"HMDB0252958",99.9801921362781,98.4269888550487,0.242231405838785,0,0
"中区 Middle cortex","1-(2,2-Dichloroethyl)-1-nitrosourea","C3H5Cl2N3O2","Organic acids and derivatives","Organic carbonic acids and derivatives","Ureas","HMDB0258042",89.739526592057,96.4523578433013,-0.286065673605405,0,0
"中区 Middle cortex","1-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-glycero-3-phosphate","C25H39O7P","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","HMDB0062307",98.445082697831,94.0560259714181,0.255224149929282,0,0
"中区 Middle cortex","1-Bromo-3-iodoacetone","C3H4BrIO","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","HMDB0040190",34.6043379221551,55.3917467117373,-0.13541500992125,0,0
"中区 Middle cortex","1-docosanoyl-glycero-3-phosphate","C25H51O7P","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","HMDB0062314",93.1860948796672,85.6604973392684,0.25728305848955,0,0
"中区 Middle cortex","1-Lyso-2-arachidonoyl-phosphatidate","C23H39O7P","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","HMDB0012496",99.613746657423,96.8740587034372,0.265259254212926,0,0
"中区 Middle cortex","1-palmitoyl-dihydroxyacetone-phosphate","C19H37O7P","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","HMDB0062190",93.225710607111,88.4166136751565,0.151067917147644,0,0
"中区 Middle cortex","1-Phenyl-1,3-nonadecanedione","C25H40O2","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","HMDB0035584",90.908190551649,80.6067806820844,0.328968029503862,0,0
"中区 Middle cortex","1,2-Di-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphate","C39H69O8P","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","HMDB0031092",99.7920174309201,97.1083369590682,0.391555219939169,0,0
"中区 Middle cortex","1,2-Dichloroethane","C2H4Cl2","Organohalogen compounds","Organochlorides",NA,"HMDB0029571",100,99.8594330466214,0.169103756305752,0,0
"中区 Middle cortex","1,2,4,5-Tetrathiane","C2H4S4","Organoheterocyclic compounds","Tetrathianes",NA,"HMDB0031185",100,99.8008634827136,-0.62471514571362,0,0
"中区 Middle cortex","1,2,4,5,7-Pentathiocane","C3H6S5","Organosulfur compounds","Organic disulfides",NA,"HMDB0039431",99.9702882044172,99.8008634827136,-0.793850558901168,0,0
"中区 Middle cortex","1,2,4,6-Tetrathiepane","C3H6S4","Organosulfur compounds","Thioacetals","Dithioacetals","HMDB0031719",72.6849559275032,88.7044412463603,-0.148977673129532,0,0
"中区 Middle cortex","1,3,5-Trichloro-(2-methylsulfonyl)benzene","C7H5Cl3O2S","Benzenoids","Benzene and substituted derivatives","Benzenesulfonyl compounds","HMDB0037120",94.1071605427355,91.7567522340105,0.146150751223865,0,0
"中区 Middle cortex","1,3,5-Trithiane","C3H6S3","Organoheterocyclic compounds","Trithianes",NA,"HMDB0036573",54.7984549866297,68.2301951203186,-0.196228628735604,0,0
"中区 Middle cortex","18a-Glycyrrhetinic acid","C30H46O4","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","HMDB0244828",85.3917005051005,73.7474480404297,0.281181463523852,0,0
"中区 Middle cortex","2-(Thiocyanomethylthio)benzothiazole","C9H6N2S3","Organoheterocyclic compounds","Benzothiazoles",NA,"HMDB0245617",92.4135881945132,93.620937782389,-0.292099651719101,0,0
"中区 Middle cortex","2-Amino-4,6-dichloropyrimidine-5-carbaldehyde","C5H3Cl2N3O","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","HMDB0246965",78.4193324749926,88.5270591385254,-0.131007831794622,0,0
"中区 Middle cortex","2-Bromophenol","C6H5BrO","Benzenoids","Phenols","Halophenols","HMDB0032059",47.5982965237199,67.8068208440711,-0.0753967032315924,0,0
"中区 Middle cortex","2-Chloro-1,1,1,2-tetrafluoroethane","C2HClF4","Organohalogen compounds","Organofluorides",NA,"HMDB0245049",81.618302466079,89.0173700592389,-0.244732819584181,0,0
"中区 Middle cortex","2-Naphthol-6,8-disulfonic acid","C10H8O7S2","Benzenoids","Naphthalenes","Naphthalene sulfonic acids and derivatives","HMDB0244428",89.8385659106665,82.5245155460357,0.159447890409014,0,0
"中区 Middle cortex","2,2,2-Trifluoroethanesulfonyl chloride","C2H2ClF3O2S","Organohalogen compounds","Sulfonyl halides","Sulfonyl chlorides","HMDB0245338",97.3853619887095,98.8386492185147,-0.130469286955428,0,0
"中区 Middle cortex","2,3,4,5,6-Pentachlorobenzyl alcohol","C7H3Cl5O","Benzenoids","Benzene and substituted derivatives","Benzyl alcohols","HMDB0040450",60.8002376943647,80.1583051641621,-0.206736625576518,0,0
"中区 Middle cortex","2'-Deoxyguanosine 5'-triphosphate（dGTP）","C10H16N5O13P3","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine deoxyribonucleotides","HMDB0001440",78.5976032484897,64.8666287359015,0.24660629184727,0,0
"中区 Middle cortex","3-[2-[[(1S,2R,3S)-3-[4-(Pentylcarbamoyl)-1,3-oxazol-2-yl]-7-oxabicyclo[2.2.1]heptan-2-yl]methyl]phenyl]propanoic acid","C25H32N2O5","Phenylpropanoids and polyketides","Phenylpropanoic acids",NA,"HMDB0247885",99.9801921362781,98.8403226346263,0.216717090449885,0,0
"中区 Middle cortex","3-Bromosulfolane","C4H7BrO2S","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","HMDB0040457",99.9801921362781,99.6837243548981,-0.387288080418688,0,0
"中区 Middle cortex","3-Chloro-4-(dichloromethylene)-2,5-pyrrolidinedione","C5H2Cl3NO2","Organoheterocyclic compounds","Pyrrolidines","Pyrrolidones","HMDB0034897",92.2749331484599,96.3352187154858,-0.161702685998877,0,0
"中区 Middle cortex","3-Iodopropanoic acid","C3H5IO2","Organic acids and derivatives","Carboxylic acids and derivatives","Carboxylic acids","HMDB0031252",70.2485886897098,85.456340573647,-0.193560387120145,0,0
"中区 Middle cortex","3,4-dihydroxy-5-all-trans-nonaprenylbenzoate","C52H77O4","Lipids and lipid-like molecules","Prenol lipids","Polyprenylphenols","HMDB0304101",98.0390214915321,92.8779410288162,0.301040391491861,0,0
"中区 Middle cortex","3,8-Divinyl-2,7,12,18-tetramethyl-21H,22H,23H,24H-porphyrin-13,17-dipropanoic acid","C34H36N4O4",NA,NA,NA,"HMDB0260018",84.2032286817867,79.1475618327253,0.165356979482853,0,0
"中区 Middle cortex","4-Bromocatechol","C6H5BrO2","Benzenoids","Phenols","Benzenediols","HMDB0062396",62.1669802911756,75.7522005421868,-0.100718378496826,0,0
"中区 Middle cortex","4-Chlorothiophenol","C6H5ClS","Benzenoids","Thiophenols",NA,"HMDB0246403",94.5429335446172,93.8200742996754,-0.208687367173849,0,0
"中区 Middle cortex","4-Hydroperoxycyclophosphamide","C7H15Cl2N2O4P","Organic nitrogen compounds","Organonitrogen compounds","Nitrogen mustard compounds","HMDB0246437",85.5204516192929,90.2674118946417,-0.130901328798491,0,0
"中区 Middle cortex","4-Iodophenol","C6H5IO","Benzenoids","Phenols","Halophenols","HMDB0246477",98.2965237199168,99.3306335553399,-0.495035758335969,0,0
"中区 Middle cortex","4-Methyltridecanoylcarnitine","C21H41NO4","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","HMDB0240823",98.445082697831,94.4191572676462,0.163028045723853,0,0
"中区 Middle cortex","4Z,7Z,10Z,13Z,16Z-Docosapentaenoic Acid","C22H34O2","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","HMDB0001976",100,99.760701496034,0.3540806010836,0,0
"中区 Middle cortex","5-Chlorobenzene-1,2,3,4-tetrol","C6H5ClO4","Benzenoids","Phenols","1,4-dihydroxy-2-halobenzenoids","HMDB0257617",98.6233534713281,99.0361123196894,-0.189038171438099,0,0
"中区 Middle cortex","5b-Cyprinol sulfate","C27H48O8S","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","HMDB0006888",90.3139546399921,83.1804946618026,0.17489750472622,0,0
"中区 Middle cortex","5Z,8Z,11Z,14Z,17Z-Eicosapentaenoic Acid","C20H30O2","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","HMDB0001999",99.9900960681391,99.0561933130292,0.235924289419454,0,0
"中区 Middle cortex","6-Bromo-L-tryptophan","C11H11BrN2O2","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","HMDB0242168",59.6315737347727,68.5498175976438,-0.224226078472604,0,0
"中区 Middle cortex","6-Ethylchenodeoxycholic acid","C26H44O4","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","HMDB0247056",95.9195800732891,92.7942702232337,0.170179724586197,0,0
