"Cluster","Metabolite","Formula","Super_Class","Class","Sub_Class","HMDB","pct.1","pct.2","avg_log2FC","p_val","p_val_adj"
"肋骨 Rib","(-)-Aspidospermine","C22H30N2O2","Alkaloids and derivatives","Aspidospermatan-type alkaloids",NA,"HMDB0030361",50.0449284738696,71.1518834775932,-0.309482899362522,0,0
"肋骨 Rib","(-)-Epigallocatechin sulfate","C15H13O10S","Phenylpropanoids and polyketides","Flavonoids","Sulfated flavonoids","HMDB0012468",29.4958426185513,50.4644907004661,-0.150855623906431,0,0
"肋骨 Rib","(-)-Fumigaclavine B","C16H20N2O","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0030201",49.0924448278341,71.5126140268173,-0.281272742921102,0,0
"肋骨 Rib","(-)-Huperzine A (HupA)","C15H18N2O","Organoheterocyclic compounds","Quinolines and derivatives","Quinolones and derivatives","HMDB0242212",52.3764167445427,73.310313321637,-0.229833107658708,0,0
"肋骨 Rib","(-)-Ibogaine","C20H26N2O","Alkaloids and derivatives","Ibogan-type alkaloids",NA,"HMDB0242213",30.762825581674,49.4681988501334,-0.128828861895973,0,0
"肋骨 Rib","(-)-Morphinan","C16H21N","Alkaloids and derivatives","Morphinans",NA,"HMDB0242217",37.8279778592481,58.3935158410404,-0.16562221382844,0,0
"肋骨 Rib","(-)-Quebrachamine","C19H26N2","Alkaloids and derivatives","Quebrachamine alkaloids",NA,"HMDB0030260",28.9758704143004,50.2573348950006,-0.112670365888473,0,0
"肋骨 Rib","(-)-Tylophorine","C24H27NO4","Benzenoids","Phenanthrenes and derivatives","Phenanthroindolizidines","HMDB0242221",50.4223276543742,74.1981065594883,-0.181807573623647,0,0
"肋骨 Rib","((2R,3S)-3-Amino-2-hydroxy-2-(1H-imidazol-4-ylmethyl)-5-methyl)-5-methylhexanoic Acid","C11H19N3O3","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0242228",47.6667145903721,70.0147742791464,-0.253612061109612,0,0
"肋骨 Rib","(+)-Gallocatechin","C15H14O7","Phenylpropanoids and polyketides","Flavonoids","Flavans","HMDB0038365",76.3322790118132,74.8545656896527,0.269434292681362,0,0
"肋骨 Rib","(+)-Setoclavine","C16H18N2O","Alkaloids and derivatives","Ergoline and derivatives","Clavines and derivatives","HMDB0033428",39.3962811204562,59.2642992180324,-0.12651207181085,0,0
"肋骨 Rib","(1-((2-Methoxy-4-(((phenylsulfonyl)amino)carbonyl)phenyl)methyl)-1H-indazol-6-yl)carbamic acid cyclopentyl ester","C28H28N4O6S","Benzenoids","Benzene and substituted derivatives","Benzenesulfonamides","HMDB0242277",42.4687896868186,57.5255269411896,-0.126673057025912,0,0
"肋骨 Rib","(1-{3-[6-(9,9-Difluoro-7-{2-[5-(2-methoxycarbonylamino-3-methyl-butyryl)-5-aza-spiro[2.4]hept-6-yl]-3H-imidazol-4-yl}-9H-fluoren-2-yl)-1H-benzoimidazol-2-yl]-2-aza-bicyclo[2.2.1]heptane-2-carbonyl}-2-methyl-propyl)-carbamic acid methyl ester","C49H54F2N8O6","Benzenoids","Fluorenes",NA,"HMDB0242282",79.9109817171064,95.2005462595316,-0.270745491070834,0,0
"肋骨 Rib","(1-Hydroxy-3-oxopropan-2-yl) dihydrogen phosphate","C3H7O6P","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","HMDB0242284",53.3840126518582,82.9262306634332,-0.337676471916155,0,0
"肋骨 Rib","(1,10,11,12,14,23-Hexahydroxy-6,10,19-trimethyl-24-oxa-4-azaheptacyclo[12.12.0.02,11.04,9.015,25.018,23.019,25]hexacosan-22-yl) 3,4-dimethoxybenzoate","C36H51NO11","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroidal alkaloids","HMDB0242290",47.6229842091391,73.0679228043915,-0.403580216160997,0,0
"肋骨 Rib","(11S,14S,17R,20S,23R)-20-Benzyl-17-[3-(diaminomethylideneamino)propyl]-14-(1H-indol-3-ylmethyl)-2,5,13,16,19,22-hexaoxo-1,6,12,15,18,21-hexazabicyclo[21.3.0]hexacosane-11-carboxamide","C41H55N11O7","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0260063",83.4315769295282,95.486797917993,-0.292269735868576,0,0
"肋骨 Rib","(1R,4R,4'R,5S,5'S,6R,6'S,7R,9R,11R,12R,13S,14S)-12-[(3R,4S,6R)-4-(Dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-4-ethyl-5,5',6,11-tetrahydroxy-4'-methoxy-4',5,6',7,9,11,13-heptamethylspiro[3,15,17-trioxabicyclo[12.4.0]octadecane-16,2'-oxane]-2,8-dione","C37H65NO14","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","HMDB0242335",51.7827618431457,71.9514684369882,-0.100378864949851,0,0
"肋骨 Rib","(1R,4R,5S,6R)-4-Amino-2-oxabicyclo[3.1.0]hexane-4,6-dicarboxylic acid","C7H9NO5","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0242337",75.9045599405746,82.3229880979574,0.170508061456221,0,0
