"Cluster","Metabolite","Formula","Super_Class","Class","Sub_Class","HMDB","pct.1","pct.2","avg_log2FC","p_val","p_val_adj"
"皮质中 Middle Cortex","(-)-erythro-Anethole glycol 1-glucoside","C16H24O8","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","HMDB0033066",99.3443849425106,98.9234090755066,-0.171641152902371,0,0
"皮质中 Middle Cortex","((2R,3S)-3-Amino-2-hydroxy-2-(1H-imidazol-4-ylmethyl)-5-methyl)-5-methylhexanoic Acid","C11H19N3O3","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0242228",99.9763742321625,99.8891459884402,0.201331534385349,0,0
"皮质中 Middle Cortex","(1R,4R,5S,6R)-4-Amino-2-oxabicyclo[3.1.0]hexane-4,6-dicarboxylic acid","C7H9NO5","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0242337",99.6830209481808,99.5841764369875,-0.0610125991733582,0,0
"皮质中 Middle Cortex","(1S,2R,3R,4R,5R,6S,7S,8R,9R,10R,13R,14R,16S,17S,18R)-6,16,18-Trimethoxy-13-(methoxymethyl)-11-methyl-11-azahexacyclo[7.7.2.12,5.01,10.03,8.013,17]nonadecane-4,5,7,8,14-pentol","C24H39NO9","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids","HMDB0242427",98.6631753031974,97.7964739710908,0.142529550222203,0,0
"皮质中 Middle Cortex","(1S,3S)-(R)-Cyano(3-phenoxyphenyl)methyl 3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate","C22H19Cl2NO3","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","HMDB0243566",78.1776657741377,82.5358944321273,-0.119527405431918,0,0
"皮质中 Middle Cortex","(1xi,3S)-1,2,3,4-Tetrahydro-1-methyl-beta-carboline-1,3-dicarboxylic acid","C14H14N2O4","Alkaloids and derivatives","Harmala alkaloids",NA,"HMDB0035115",81.6939675539455,85.3909903281085,-0.0614559020595328,0,0
"皮质中 Middle Cortex","(2E,6E)-1-Hydroxy-2,6,10-farnesatrien-9-one","C15H24O2","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids","HMDB0030891",97.1806583713971,89.5632642391736,0.0617483952197734,0,0
"皮质中 Middle Cortex","(2R,3R,4S,5S,6R)-2-[(2R,3R,4R,5R)-3-Chloro-2-[dichloro(hydroxy)methyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol","C12H19Cl3O11","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","HMDB0260123",47.6256103323358,39.0244846982738,0.0945270114307662,0,0
"皮质中 Middle Cortex","(2R)-2-Amino-3-(1,2-dichloroethenylsulfanyl)propanoic acid","C5H7Cl2NO2S","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0242510",84.4188061111986,89.5158245311698,-0.10704328776721,0,0
"皮质中 Middle Cortex","(2S,3S,5S,8R,9S,10S,13S,14S,16S,17R)-17-Acetyloxy-10,13-dimethyl-2-morpholin-4-yl-16-(1-prop-2-enylpyrrolidin-1-ium-1-yl)-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-3-olate","C32H52N2O4",NA,NA,NA,"HMDB0242110",76.08284769255,68.4564668067268,0.111185892321335,0,0
