"","total","expected","hits","Raw p","Holm p","FDR"
"Purine metabolism",70,7.79,20,3.18e-05,0.00258,0.00258
"Histidine metabolism",16,1.78,8,0.000118,0.00941,0.00476
"Arginine biosynthesis",14,1.56,6,0.00243,0.192,0.0657
"Pantothenate and CoA biosynthesis",20,2.23,7,0.00411,0.32,0.0832
"beta-Alanine metabolism",21,2.34,7,0.00559,0.431,0.0906
"Pyrimidine metabolism",39,4.34,10,0.00797,0.606,0.108
"Vitamin B6 metabolism",9,1,4,0.0119,0.892,0.138
"Citrate cycle (TCA cycle)",20,2.23,6,0.0178,1,0.18
"Pentose phosphate pathway",22,2.45,6,0.0283,1,0.214
"Alanine, aspartate and glutamate metabolism",28,3.12,7,0.0291,1,0.214
"Glutathione metabolism",28,3.12,7,0.0291,1,0.214
"Arginine and proline metabolism",35,3.89,8,0.0336,1,0.227
"Biosynthesis of unsaturated fatty acids",36,4.01,8,0.0392,1,0.244
"Glycolysis / Gluconeogenesis",24,2.67,6,0.0424,1,0.245
"Glycine, serine and threonine metabolism",32,3.56,7,0.0565,1,0.305
"Selenocompound metabolism",20,2.23,5,0.0623,1,0.315
"Tryptophan metabolism",40,4.45,8,0.0678,1,0.323
"Nicotinate and nicotinamide metabolism",15,1.67,4,0.0758,1,0.341
"Biotin metabolism",10,1.11,3,0.0902,1,0.385
"Glyoxylate and dicarboxylate metabolism",32,3.56,6,0.136,1,0.528
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",6,0.668,2,0.137,1,0.528
"Cysteine and methionine metabolism",33,3.67,6,0.152,1,0.56
"D-Amino acid metabolism",14,1.56,3,0.198,1,0.688
"Lysine degradation",29,3.23,5,0.214,1,0.688
"Valine, leucine and isoleucine biosynthesis",8,0.89,2,0.221,1,0.688
"Taurine and hypotaurine metabolism",8,0.89,2,0.221,1,0.688
"Tyrosine metabolism",42,4.67,6,0.322,1,0.966
"Arachidonic acid metabolism",44,4.9,6,0.364,1,0.981
"Glycerophospholipid metabolism",36,4.01,5,0.372,1,0.981
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.445,1,0.376,1,0.981
"Riboflavin metabolism",4,0.445,1,0.376,1,0.981
"Ether lipid metabolism",20,2.23,3,0.388,1,0.981
"Fructose and mannose metabolism",21,2.34,3,0.419,1,1
"Pyruvate metabolism",22,2.45,3,0.45,1,1
"Metabolism of xenobiotics by cytochrome P450",68,7.57,8,0.491,1,1
"Nitrogen metabolism",6,0.668,1,0.508,1,1
"Butanoate metabolism",15,1.67,2,0.51,1,1
"Glycerolipid metabolism",16,1.78,2,0.546,1,1
"Drug metabolism - cytochrome P450",55,6.12,6,0.587,1,1
"Phenylalanine metabolism",8,0.89,1,0.612,1,1
"Sulfur metabolism",8,0.89,1,0.612,1,1
"Lipoic acid metabolism",28,3.12,3,0.618,1,1
"Drug metabolism - other enzymes",39,4.34,4,0.647,1,1
"Caffeine metabolism",10,1.11,1,0.694,1,1
"Ascorbate and aldarate metabolism",11,1.22,1,0.728,1,1
"Folate biosynthesis",26,2.89,2,0.804,1,1
"Retinol metabolism",17,1.89,1,0.867,1,1
"Amino sugar and nucleotide sugar metabolism",31,3.45,2,0.877,1,1
"Starch and sucrose metabolism",18,2,1,0.882,1,1
"Terpenoid backbone biosynthesis",18,2,1,0.882,1,1
"Inositol phosphate metabolism",32,3.56,2,0.888,1,1
"Pentose and glucuronate interconversions",19,2.11,1,0.895,1,1
"Sphingolipid metabolism",33,3.67,2,0.898,1,1
"Primary bile acid biosynthesis",46,5.12,3,0.902,1,1
"Ubiquinone and other terpenoid-quinone biosynthesis",20,2.23,1,0.907,1,1
"Fatty acid biosynthesis",47,5.23,3,0.91,1,1
"Propanoate metabolism",22,2.45,1,0.927,1,1
"Biosynthesis of various nucleotide sugars",24,2.67,1,0.942,1,1
"Fatty acid degradation",39,4.34,2,0.943,1,1
"Valine, leucine and isoleucine degradation",40,4.45,2,0.948,1,1
"Galactose metabolism",26,2.89,1,0.955,1,1
"One carbon pool by folate",26,2.89,1,0.955,1,1
"Steroid hormone biosynthesis",86,9.57,5,0.972,1,1
"Porphyrin metabolism",31,3.45,1,0.975,1,1
"Fatty acid elongation",38,4.23,1,0.989,1,1
"Steroid biosynthesis",41,4.56,1,0.993,1,1
"Glycosphingolipid biosynthesis - lacto and neolacto series",53,5.9,1,0.998,1,1
