"","total","expected","hits","Raw p","Holm p","FDR"
"Histidine metabolism",16,1.66,8,7.18e-05,0.00581,0.00581
"Purine metabolism",70,7.28,17,0.000486,0.0389,0.0197
"Arginine biosynthesis",14,1.46,6,0.0017,0.135,0.046
"Pyrimidine metabolism",39,4.06,10,0.00491,0.383,0.0993
"Vitamin B6 metabolism",9,0.936,4,0.00935,0.72,0.15
"Citrate cycle (TCA cycle)",20,2.08,6,0.0129,0.983,0.15
"Pantothenate and CoA biosynthesis",20,2.08,6,0.0129,0.983,0.15
"beta-Alanine metabolism",21,2.18,6,0.0166,1,0.168
"Alanine, aspartate and glutamate metabolism",28,2.91,7,0.0207,1,0.169
"Pentose phosphate pathway",22,2.29,6,0.0209,1,0.169
"Arginine and proline metabolism",35,3.64,8,0.0233,1,0.172
"Biosynthesis of unsaturated fatty acids",36,3.74,8,0.0274,1,0.185
"Taurine and hypotaurine metabolism",8,0.832,3,0.0418,1,0.26
"D-Amino acid metabolism",14,1.46,4,0.0491,1,0.284
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.416,2,0.056,1,0.303
"Nicotinate and nicotinamide metabolism",15,1.56,4,0.0617,1,0.313
"Ascorbate and aldarate metabolism",11,1.14,3,0.0976,1,0.433
"Drug metabolism - other enzymes",39,4.06,7,0.102,1,0.433
"Glycine, serine and threonine metabolism",32,3.33,6,0.107,1,0.433
"Glyoxylate and dicarboxylate metabolism",32,3.33,6,0.107,1,0.433
"Cysteine and methionine metabolism",33,3.43,6,0.12,1,0.449
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",6,0.624,2,0.122,1,0.449
"Selenocompound metabolism",20,2.08,4,0.146,1,0.516
"Glutathione metabolism",28,2.91,5,0.158,1,0.534
"Phenylalanine metabolism",8,0.832,2,0.199,1,0.644
"Inositol phosphate metabolism",32,3.33,5,0.234,1,0.703
"Glycolysis / Gluconeogenesis",24,2.5,4,0.234,1,0.703
"Metabolism of xenobiotics by cytochrome P450",68,7.07,9,0.27,1,0.78
"Biotin metabolism",10,1.04,2,0.279,1,0.78
"Tryptophan metabolism",40,4.16,5,0.404,1,1
"Pyruvate metabolism",22,2.29,3,0.405,1,1
"Tyrosine metabolism",42,4.37,5,0.447,1,1
"Butanoate metabolism",15,1.56,2,0.473,1,1
"Nitrogen metabolism",6,0.624,1,0.483,1,1
"Glycerolipid metabolism",16,1.66,2,0.508,1,1
"Primary bile acid biosynthesis",46,4.78,5,0.531,1,1
"Valine, leucine and isoleucine biosynthesis",8,0.832,1,0.586,1,1
"Lysine degradation",29,3.02,3,0.595,1,1
"Ubiquinone and other terpenoid-quinone biosynthesis",20,2.08,2,0.632,1,1
"Ether lipid metabolism",20,2.08,2,0.632,1,1
"Fructose and mannose metabolism",21,2.18,2,0.659,1,1
"Caffeine metabolism",10,1.04,1,0.668,1,1
"Arachidonic acid metabolism",44,4.58,4,0.688,1,1
"Glycerophospholipid metabolism",36,3.74,3,0.741,1,1
"One carbon pool by folate",26,2.7,2,0.771,1,1
"Folate biosynthesis",26,2.7,2,0.771,1,1
"Lipoic acid metabolism",28,2.91,2,0.806,1,1
"Drug metabolism - cytochrome P450",55,5.72,4,0.842,1,1
"Retinol metabolism",17,1.77,1,0.847,1,1
"Porphyrin metabolism",31,3.22,2,0.85,1,1
"Terpenoid backbone biosynthesis",18,1.87,1,0.863,1,1
"Pentose and glucuronate interconversions",19,1.98,1,0.878,1,1
"Steroid hormone biosynthesis",86,8.95,6,0.901,1,1
"Propanoate metabolism",22,2.29,1,0.912,1,1
"Biosynthesis of various nucleotide sugars",24,2.5,1,0.93,1,1
"Steroid biosynthesis",41,4.26,2,0.939,1,1
"Fatty acid biosynthesis",47,4.89,2,0.965,1,1
"Amino sugar and nucleotide sugar metabolism",31,3.22,1,0.968,1,1
"Sphingolipid metabolism",33,3.43,1,0.974,1,1
"Fatty acid elongation",38,3.95,1,0.985,1,1
"Fatty acid degradation",39,4.06,1,0.987,1,1
"Valine, leucine and isoleucine degradation",40,4.16,1,0.988,1,1
