"","total","expected","hits","Raw p","Holm p","FDR"
"Histidine metabolism",16,1.7,8,8.24e-05,0.00668,0.00668
"Purine metabolism",70,7.42,16,0.0018,0.144,0.0509
"Arginine biosynthesis",14,1.48,6,0.00188,0.149,0.0509
"Alanine, aspartate and glutamate metabolism",28,2.97,8,0.0065,0.507,0.132
"Vitamin B6 metabolism",9,0.954,4,0.01,0.77,0.162
"Citrate cycle (TCA cycle)",20,2.12,6,0.0141,1,0.163
"Pantothenate and CoA biosynthesis",20,2.12,6,0.0141,1,0.163
"Pyrimidine metabolism",39,4.13,9,0.0173,1,0.163
"beta-Alanine metabolism",21,2.23,6,0.0181,1,0.163
"Arginine and proline metabolism",35,3.71,8,0.0258,1,0.209
"Taurine and hypotaurine metabolism",8,0.848,3,0.0438,1,0.323
"D-Amino acid metabolism",14,1.48,4,0.0521,1,0.325
"Selenocompound metabolism",20,2.12,5,0.0522,1,0.325
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.424,2,0.058,1,0.336
"Glutathione metabolism",28,2.97,6,0.0675,1,0.361
"Pentose phosphate pathway",22,2.33,5,0.0747,1,0.361
"Biosynthesis of unsaturated fatty acids",36,3.82,7,0.0782,1,0.361
"Biotin metabolism",10,1.06,3,0.0802,1,0.361
"Glycolysis / Gluconeogenesis",24,2.54,5,0.102,1,0.413
"Ascorbate and aldarate metabolism",11,1.17,3,0.102,1,0.413
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",6,0.636,2,0.126,1,0.472
"Cysteine and methionine metabolism",33,3.5,6,0.128,1,0.472
"Valine, leucine and isoleucine biosynthesis",8,0.848,2,0.205,1,0.664
"Phenylalanine metabolism",8,0.848,2,0.205,1,0.664
"Nicotinate and nicotinamide metabolism",15,1.59,3,0.207,1,0.664
"Drug metabolism - other enzymes",39,4.13,6,0.226,1,0.664
"Tryptophan metabolism",40,4.24,6,0.244,1,0.664
"Glycine, serine and threonine metabolism",32,3.39,5,0.246,1,0.664
"Inositol phosphate metabolism",32,3.39,5,0.246,1,0.664
"Glyoxylate and dicarboxylate metabolism",32,3.39,5,0.246,1,0.664
"Metabolism of xenobiotics by cytochrome P450",68,7.21,9,0.289,1,0.755
"Lysine degradation",29,3.07,4,0.37,1,0.936
"Pyruvate metabolism",22,2.33,3,0.418,1,1
"Tyrosine metabolism",42,4.45,5,0.464,1,1
"Butanoate metabolism",15,1.59,2,0.483,1,1
"Nitrogen metabolism",6,0.636,1,0.49,1,1
"Folate biosynthesis",26,2.76,3,0.532,1,1
"Primary bile acid biosynthesis",46,4.88,5,0.549,1,1
"Lipoic acid metabolism",28,2.97,3,0.584,1,1
"Terpenoid backbone biosynthesis",18,1.91,2,0.584,1,1
"Pentose and glucuronate interconversions",19,2.01,2,0.615,1,1
"Ubiquinone and other terpenoid-quinone biosynthesis",20,2.12,2,0.643,1,1
"Ether lipid metabolism",20,2.12,2,0.643,1,1
"Porphyrin metabolism",31,3.29,3,0.655,1,1
"Fructose and mannose metabolism",21,2.23,2,0.67,1,1
"Caffeine metabolism",10,1.06,1,0.675,1,1
"Arachidonic acid metabolism",44,4.66,4,0.703,1,1
"Biosynthesis of various nucleotide sugars",24,2.54,2,0.741,1,1
"Glycerophospholipid metabolism",36,3.82,3,0.753,1,1
"One carbon pool by folate",26,2.76,2,0.781,1,1
"Glycerolipid metabolism",16,1.7,1,0.835,1,1
"Drug metabolism - cytochrome P450",55,5.83,4,0.853,1,1
"Amino sugar and nucleotide sugar metabolism",31,3.29,2,0.858,1,1
"Starch and sucrose metabolism",18,1.91,1,0.868,1,1
"Steroid hormone biosynthesis",86,9.12,6,0.91,1,1
"Propanoate metabolism",22,2.33,1,0.917,1,1
"Valine, leucine and isoleucine degradation",40,4.24,2,0.937,1,1
"Steroid biosynthesis",41,4.35,2,0.943,1,1
"Galactose metabolism",26,2.76,1,0.947,1,1
"Fatty acid biosynthesis",47,4.98,2,0.968,1,1
"Sphingolipid metabolism",33,3.5,1,0.976,1,1
"Fatty acid elongation",38,4.03,1,0.987,1,1
"Fatty acid degradation",39,4.13,1,0.988,1,1
