"","total","expected","hits","Raw p","Holm p","FDR"
"Histidine metabolism",16,1.65,8,6.85e-05,0.00555,0.00555
"Arginine biosynthesis",14,1.45,6,0.00165,0.132,0.0667
"Purine metabolism",70,7.24,15,0.00381,0.301,0.0902
"Pyrimidine metabolism",39,4.03,10,0.00468,0.365,0.0902
"Alanine, aspartate and glutamate metabolism",28,2.89,8,0.00557,0.429,0.0902
"Vitamin B6 metabolism",9,0.93,4,0.00914,0.695,0.123
"Citrate cycle (TCA cycle)",20,2.07,6,0.0126,0.941,0.127
"Pantothenate and CoA biosynthesis",20,2.07,6,0.0126,0.941,0.127
"beta-Alanine metabolism",21,2.17,6,0.0161,1,0.145
"Taurine and hypotaurine metabolism",8,0.827,3,0.0411,1,0.325
"Selenocompound metabolism",20,2.07,5,0.0476,1,0.325
"D-Amino acid metabolism",14,1.45,4,0.0482,1,0.325
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.413,2,0.0554,1,0.333
"Nicotinate and nicotinamide metabolism",15,1.55,4,0.0605,1,0.333
"Arginine and proline metabolism",35,3.62,7,0.0616,1,0.333
"Pentose phosphate pathway",22,2.27,5,0.0683,1,0.334
"Biosynthesis of unsaturated fatty acids",36,3.72,7,0.0701,1,0.334
"Glycolysis / Gluconeogenesis",24,2.48,5,0.0934,1,0.403
"Ascorbate and aldarate metabolism",11,1.14,3,0.0961,1,0.403
"Drug metabolism - other enzymes",39,4.03,7,0.0996,1,0.403
"Glyoxylate and dicarboxylate metabolism",32,3.31,6,0.104,1,0.403
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",6,0.62,2,0.121,1,0.444
"Glutathione metabolism",28,2.89,5,0.155,1,0.547
"Phenylalanine metabolism",8,0.827,2,0.197,1,0.664
"Tryptophan metabolism",40,4.13,6,0.226,1,0.69
"Glycine, serine and threonine metabolism",32,3.31,5,0.23,1,0.69
"Inositol phosphate metabolism",32,3.31,5,0.23,1,0.69
"Cysteine and methionine metabolism",33,3.41,5,0.25,1,0.723
"Biotin metabolism",10,1.03,2,0.277,1,0.773
"Lysine degradation",29,3,4,0.352,1,0.95
"Pyruvate metabolism",22,2.27,3,0.401,1,1
"Metabolism of xenobiotics by cytochrome P450",68,7.03,8,0.405,1,1
"Tyrosine metabolism",42,4.34,5,0.442,1,1
"Butanoate metabolism",15,1.55,2,0.47,1,1
"Nitrogen metabolism",6,0.62,1,0.481,1,1
"Glycerolipid metabolism",16,1.65,2,0.505,1,1
"Folate biosynthesis",26,2.69,3,0.514,1,1
"Primary bile acid biosynthesis",46,4.75,5,0.525,1,1
"Lipoic acid metabolism",28,2.89,3,0.566,1,1
"Terpenoid backbone biosynthesis",18,1.86,2,0.57,1,1
"Valine, leucine and isoleucine biosynthesis",8,0.827,1,0.583,1,1
"Pentose and glucuronate interconversions",19,1.96,2,0.6,1,1
"Ubiquinone and other terpenoid-quinone biosynthesis",20,2.07,2,0.629,1,1
"Ether lipid metabolism",20,2.07,2,0.629,1,1
"Porphyrin metabolism",31,3.2,3,0.637,1,1
"Fructose and mannose metabolism",21,2.17,2,0.656,1,1
"Caffeine metabolism",10,1.03,1,0.665,1,1
"Arachidonic acid metabolism",44,4.55,4,0.683,1,1
"Biosynthesis of various nucleotide sugars",24,2.48,2,0.728,1,1
"Glycerophospholipid metabolism",36,3.72,3,0.737,1,1
"One carbon pool by folate",26,2.69,2,0.768,1,1
"Drug metabolism - cytochrome P450",55,5.68,4,0.838,1,1
"Retinol metabolism",17,1.76,1,0.845,1,1
"Amino sugar and nucleotide sugar metabolism",31,3.2,2,0.847,1,1
"Starch and sucrose metabolism",18,1.86,1,0.861,1,1
"Propanoate metabolism",22,2.27,1,0.911,1,1
"Steroid biosynthesis",41,4.24,2,0.937,1,1
"Galactose metabolism",26,2.69,1,0.943,1,1
"Fatty acid biosynthesis",47,4.86,2,0.964,1,1
"Sphingolipid metabolism",33,3.41,1,0.974,1,1
"Steroid hormone biosynthesis",86,8.89,4,0.984,1,1
"Fatty acid elongation",38,3.93,1,0.985,1,1
"Fatty acid degradation",39,4.03,1,0.987,1,1
"Valine, leucine and isoleucine degradation",40,4.13,1,0.988,1,1
