"","total","expected","hits","Raw p","Holm p","FDR"
"Histidine metabolism",16,1.66,8,7.18e-05,0.00581,0.00581
"Purine metabolism",70,7.28,16,0.00146,0.117,0.046
"Arginine biosynthesis",14,1.46,6,0.0017,0.135,0.046
"Riboflavin metabolism",4,0.416,3,0.00409,0.319,0.0787
"Cysteine and methionine metabolism",33,3.43,9,0.00486,0.374,0.0787
"Vitamin B6 metabolism",9,0.936,4,0.00935,0.711,0.126
"Citrate cycle (TCA cycle)",20,2.08,6,0.0129,0.97,0.131
"Pantothenate and CoA biosynthesis",20,2.08,6,0.0129,0.97,0.131
"Pyrimidine metabolism",39,4.06,9,0.0154,1,0.134
"beta-Alanine metabolism",21,2.18,6,0.0166,1,0.134
"Arginine and proline metabolism",35,3.64,8,0.0233,1,0.172
"Glycolysis / Gluconeogenesis",24,2.5,6,0.0317,1,0.214
"D-Amino acid metabolism",14,1.46,4,0.0491,1,0.306
"Nicotinate and nicotinamide metabolism",15,1.56,4,0.0617,1,0.317
"Alanine, aspartate and glutamate metabolism",28,2.91,6,0.0626,1,0.317
"Glutathione metabolism",28,2.91,6,0.0626,1,0.317
"Pentose phosphate pathway",22,2.29,5,0.0699,1,0.324
"Biosynthesis of unsaturated fatty acids",36,3.74,7,0.0721,1,0.324
"Biotin metabolism",10,1.04,3,0.0766,1,0.327
"Glycine, serine and threonine metabolism",32,3.33,6,0.107,1,0.433
"Tryptophan metabolism",40,4.16,7,0.114,1,0.438
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",6,0.624,2,0.122,1,0.449
"Lysine degradation",29,3.02,5,0.176,1,0.62
"Valine, leucine and isoleucine biosynthesis",8,0.832,2,0.199,1,0.644
"Taurine and hypotaurine metabolism",8,0.832,2,0.199,1,0.644
"Drug metabolism - other enzymes",39,4.06,6,0.213,1,0.663
"Sphingolipid metabolism",33,3.43,5,0.254,1,0.763
"One carbon pool by folate",26,2.7,4,0.282,1,0.816
"Glycerophospholipid metabolism",36,3.74,5,0.318,1,0.863
"Ascorbate and aldarate metabolism",11,1.14,2,0.32,1,0.863
"Selenocompound metabolism",20,2.08,3,0.346,1,0.901
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.416,1,0.356,1,0.901
"Pyruvate metabolism",22,2.29,3,0.405,1,0.983
"Metabolism of xenobiotics by cytochrome P450",68,7.07,8,0.413,1,0.983
"Glyoxylate and dicarboxylate metabolism",32,3.33,4,0.43,1,0.996
"Butanoate metabolism",15,1.56,2,0.473,1,1
"Nitrogen metabolism",6,0.624,1,0.483,1,1
"Arachidonic acid metabolism",44,4.58,5,0.49,1,1
"Folate biosynthesis",26,2.7,3,0.518,1,1
"Lipoic acid metabolism",28,2.91,3,0.57,1,1
"Terpenoid backbone biosynthesis",18,1.87,2,0.574,1,1
"Phenylalanine metabolism",8,0.832,1,0.586,1,1
"Sulfur metabolism",8,0.832,1,0.586,1,1
"Ether lipid metabolism",20,2.08,2,0.632,1,1
"Fructose and mannose metabolism",21,2.18,2,0.659,1,1
"Caffeine metabolism",10,1.04,1,0.668,1,1
"Glycerolipid metabolism",16,1.66,1,0.829,1,1
"Tyrosine metabolism",42,4.37,3,0.83,1,1
"Drug metabolism - cytochrome P450",55,5.72,4,0.842,1,1
"Retinol metabolism",17,1.77,1,0.847,1,1
"Inositol phosphate metabolism",32,3.33,2,0.863,1,1
"Starch and sucrose metabolism",18,1.87,1,0.863,1,1
"Primary bile acid biosynthesis",46,4.78,3,0.874,1,1
"Pentose and glucuronate interconversions",19,1.98,1,0.878,1,1
"Propanoate metabolism",22,2.29,1,0.912,1,1
"Biosynthesis of various nucleotide sugars",24,2.5,1,0.93,1,1
"Valine, leucine and isoleucine degradation",40,4.16,2,0.933,1,1
"Galactose metabolism",26,2.7,1,0.944,1,1
"Fatty acid biosynthesis",47,4.89,2,0.965,1,1
"Amino sugar and nucleotide sugar metabolism",31,3.22,1,0.968,1,1
"Porphyrin metabolism",31,3.22,1,0.968,1,1
"Steroid hormone biosynthesis",86,8.95,4,0.985,1,1
"Fatty acid elongation",38,3.95,1,0.985,1,1
"Fatty acid degradation",39,4.06,1,0.987,1,1
"Glycosphingolipid biosynthesis - lacto and neolacto series",53,5.51,1,0.997,1,1
