"","total","expected","hits","Raw p","Holm p","FDR"
"Purine metabolism",70,7.14,20,8.25e-06,0.000668,0.000668
"Histidine metabolism",16,1.63,7,0.000522,0.0418,0.0211
"Pantothenate and CoA biosynthesis",20,2.04,7,0.00248,0.196,0.067
"Pyrimidine metabolism",39,3.98,10,0.00426,0.332,0.0853
"Taurine and hypotaurine metabolism",8,0.816,4,0.00526,0.405,0.0853
"Glycolysis / Gluconeogenesis",24,2.45,7,0.00779,0.592,0.105
"Arginine biosynthesis",14,1.43,5,0.00968,0.726,0.112
"beta-Alanine metabolism",21,2.14,6,0.0152,1,0.154
"Biosynthesis of unsaturated fatty acids",36,3.67,8,0.0247,1,0.222
"Glycine, serine and threonine metabolism",32,3.27,7,0.0377,1,0.294
"Citrate cycle (TCA cycle)",20,2.04,5,0.0454,1,0.294
"D-Amino acid metabolism",14,1.43,4,0.0462,1,0.294
"Riboflavin metabolism",4,0.408,2,0.0541,1,0.294
"Vitamin B6 metabolism",9,0.918,3,0.0552,1,0.294
"Alanine, aspartate and glutamate metabolism",28,2.86,6,0.0579,1,0.294
"Arginine and proline metabolism",35,3.57,7,0.0582,1,0.294
"Pentose phosphate pathway",22,2.24,5,0.0653,1,0.311
"Inositol phosphate metabolism",32,3.27,6,0.0995,1,0.424
"Glyoxylate and dicarboxylate metabolism",32,3.27,6,0.0995,1,0.424
"Cysteine and methionine metabolism",33,3.37,6,0.112,1,0.453
"Thiamine metabolism",7,0.714,2,0.154,1,0.596
"Lysine degradation",29,2.96,5,0.166,1,0.6
"Pyruvate metabolism",22,2.24,4,0.18,1,0.6
"Nicotinate and nicotinamide metabolism",15,1.53,3,0.191,1,0.6
"Valine, leucine and isoleucine biosynthesis",8,0.816,2,0.193,1,0.6
"Sulfur metabolism",8,0.816,2,0.193,1,0.6
"Glycerolipid metabolism",16,1.63,3,0.219,1,0.657
"Biotin metabolism",10,1.02,2,0.272,1,0.786
"Ascorbate and aldarate metabolism",11,1.12,2,0.311,1,0.859
"Glutathione metabolism",28,2.86,4,0.318,1,0.859
"Selenocompound metabolism",20,2.04,3,0.335,1,0.874
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.408,1,0.35,1,0.886
"Fructose and mannose metabolism",21,2.14,3,0.364,1,0.893
"Tryptophan metabolism",40,4.08,5,0.388,1,0.905
"Amino sugar and nucleotide sugar metabolism",31,3.16,4,0.391,1,0.905
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",6,0.612,1,0.476,1,1
"Nitrogen metabolism",6,0.612,1,0.476,1,1
"Glycerophospholipid metabolism",36,3.67,4,0.509,1,1
"Lipoic acid metabolism",28,2.86,3,0.557,1,1
"Starch and sucrose metabolism",18,1.84,2,0.563,1,1
"Phenylalanine metabolism",8,0.816,1,0.578,1,1
"Ether lipid metabolism",20,2.04,2,0.622,1,1
"Tyrosine metabolism",42,4.29,4,0.636,1,1
"Caffeine metabolism",10,1.02,1,0.66,1,1
"Primary bile acid biosynthesis",46,4.69,4,0.708,1,1
"Metabolism of xenobiotics by cytochrome P450",68,6.94,6,0.711,1,1
"Galactose metabolism",26,2.65,2,0.762,1,1
"One carbon pool by folate",26,2.65,2,0.762,1,1
"Drug metabolism - other enzymes",39,3.98,3,0.778,1,1
"Butanoate metabolism",15,1.53,1,0.803,1,1
"Drug metabolism - cytochrome P450",55,5.61,4,0.831,1,1
"Arachidonic acid metabolism",44,4.49,3,0.844,1,1
"Terpenoid backbone biosynthesis",18,1.84,1,0.858,1,1
"Pentose and glucuronate interconversions",19,1.94,1,0.872,1,1
"Ubiquinone and other terpenoid-quinone biosynthesis",20,2.04,1,0.885,1,1
"Fatty acid degradation",39,3.98,2,0.921,1,1
"Biosynthesis of various nucleotide sugars",24,2.45,1,0.926,1,1
"Valine, leucine and isoleucine degradation",40,4.08,2,0.928,1,1
"Folate biosynthesis",26,2.65,1,0.941,1,1
"Fatty acid biosynthesis",47,4.8,2,0.962,1,1
"Porphyrin metabolism",31,3.16,1,0.966,1,1
"Steroid hormone biosynthesis",86,8.78,4,0.983,1,1
"Fatty acid elongation",38,3.88,1,0.984,1,1
"Glycosphingolipid biosynthesis - lacto and neolacto series",53,5.41,1,0.997,1,1
