"","total","expected","hits","Raw p","Holm p","FDR"
"Purine metabolism",70,7.79,21,8.47e-06,0.000686,0.000686
"Taurine and hypotaurine metabolism",8,0.89,5,0.000682,0.0546,0.0181
"Pantothenate and CoA biosynthesis",20,2.23,8,0.000776,0.0613,0.0181
"Histidine metabolism",16,1.78,7,0.000894,0.0697,0.0181
"Glycolysis / Gluconeogenesis",24,2.67,8,0.00306,0.235,0.0495
"Pyrimidine metabolism",39,4.34,10,0.00797,0.606,0.101
"Alanine, aspartate and glutamate metabolism",28,3.12,8,0.00874,0.655,0.101
"Vitamin B6 metabolism",9,1,4,0.0119,0.88,0.12
"Arginine biosynthesis",14,1.56,5,0.0139,1,0.125
"Citrate cycle (TCA cycle)",20,2.23,6,0.0178,1,0.144
"beta-Alanine metabolism",21,2.34,6,0.0226,1,0.167
"Pentose phosphate pathway",22,2.45,6,0.0283,1,0.191
"Biosynthesis of unsaturated fatty acids",36,4.01,8,0.0392,1,0.244
"Glycine, serine and threonine metabolism",32,3.56,7,0.0565,1,0.294
"Inositol phosphate metabolism",32,3.56,7,0.0565,1,0.294
"D-Amino acid metabolism",14,1.56,4,0.0607,1,0.294
"Riboflavin metabolism",4,0.445,2,0.0635,1,0.294
"Cysteine and methionine metabolism",33,3.67,7,0.0653,1,0.294
"Nicotinate and nicotinamide metabolism",15,1.67,4,0.0758,1,0.323
"Arginine and proline metabolism",35,3.89,7,0.0851,1,0.345
"Glyoxylate and dicarboxylate metabolism",32,3.56,6,0.136,1,0.504
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",6,0.668,2,0.137,1,0.504
"Thiamine metabolism",7,0.779,2,0.178,1,0.622
"Glutathione metabolism",28,3.12,5,0.193,1,0.622
"Fructose and mannose metabolism",21,2.34,4,0.198,1,0.622
"Lysine degradation",29,3.23,5,0.214,1,0.622
"Valine, leucine and isoleucine biosynthesis",8,0.89,2,0.221,1,0.622
"Sulfur metabolism",8,0.89,2,0.221,1,0.622
"Pyruvate metabolism",22,2.45,4,0.223,1,0.622
"Biotin metabolism",10,1.11,2,0.308,1,0.831
"Ascorbate and aldarate metabolism",11,1.22,2,0.351,1,0.897
"Glycerophospholipid metabolism",36,4.01,5,0.372,1,0.897
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.445,1,0.376,1,0.897
"Selenocompound metabolism",20,2.23,3,0.388,1,0.897
"Ether lipid metabolism",20,2.23,3,0.388,1,0.897
"Amino sugar and nucleotide sugar metabolism",31,3.45,4,0.459,1,1
"Tryptophan metabolism",40,4.45,5,0.464,1,1
"Phosphonate and phosphinate metabolism",6,0.668,1,0.508,1,1
"Nitrogen metabolism",6,0.668,1,0.508,1,1
"Butanoate metabolism",15,1.67,2,0.51,1,1
"Glycerolipid metabolism",16,1.78,2,0.546,1,1
"Phenylalanine metabolism",8,0.89,1,0.612,1,1
"Starch and sucrose metabolism",18,2,2,0.612,1,1
"Lipoic acid metabolism",28,3.12,3,0.618,1,1
"Caffeine metabolism",10,1.11,1,0.694,1,1
"Tyrosine metabolism",42,4.67,4,0.705,1,1
"Primary bile acid biosynthesis",46,5.12,4,0.772,1,1
"Metabolism of xenobiotics by cytochrome P450",68,7.57,6,0.788,1,1
"Galactose metabolism",26,2.89,2,0.804,1,1
"One carbon pool by folate",26,2.89,2,0.804,1,1
"Drug metabolism - other enzymes",39,4.34,3,0.828,1,1
"Porphyrin metabolism",31,3.45,2,0.877,1,1
"Drug metabolism - cytochrome P450",55,6.12,4,0.879,1,1
"Terpenoid backbone biosynthesis",18,2,1,0.882,1,1
"Arachidonic acid metabolism",44,4.9,3,0.885,1,1
"Pentose and glucuronate interconversions",19,2.11,1,0.895,1,1
"Ubiquinone and other terpenoid-quinone biosynthesis",20,2.23,1,0.907,1,1
"Propanoate metabolism",22,2.45,1,0.927,1,1
"Steroid hormone biosynthesis",86,9.57,6,0.932,1,1
"Biosynthesis of various nucleotide sugars",24,2.67,1,0.942,1,1
"Fatty acid degradation",39,4.34,2,0.943,1,1
"Valine, leucine and isoleucine degradation",40,4.45,2,0.948,1,1
"Folate biosynthesis",26,2.89,1,0.955,1,1
"Fatty acid biosynthesis",47,5.23,2,0.975,1,1
"Sphingolipid metabolism",33,3.67,1,0.98,1,1
"Fatty acid elongation",38,4.23,1,0.989,1,1
"Glycosphingolipid biosynthesis - lacto and neolacto series",53,5.9,1,0.998,1,1
