"","total","expected","hits","Raw p","Holm p","FDR"
"Purine metabolism",70,6.59,19,9.56e-06,0.000774,0.000774
"Taurine and hypotaurine metabolism",8,0.753,5,0.000307,0.0245,0.00848
"Histidine metabolism",16,1.51,7,0.000314,0.0248,0.00848
"Pantothenate and CoA biosynthesis",20,1.88,7,0.00154,0.12,0.0311
"Glycolysis / Gluconeogenesis",24,2.26,7,0.00497,0.383,0.0805
"Citrate cycle (TCA cycle)",20,1.88,6,0.00799,0.607,0.108
"beta-Alanine metabolism",21,1.98,6,0.0103,0.775,0.12
"Alanine, aspartate and glutamate metabolism",28,2.64,7,0.0123,0.912,0.125
"Biosynthesis of unsaturated fatty acids",36,3.39,8,0.0157,1,0.141
"Pyrimidine metabolism",39,3.67,8,0.025,1,0.203
"Arginine biosynthesis",14,1.32,4,0.0357,1,0.258
"Arginine and proline metabolism",35,3.29,7,0.04,1,0.258
"Glutathione metabolism",28,2.64,6,0.0414,1,0.258
"Glycine, serine and threonine metabolism",32,3.01,6,0.073,1,0.369
"Inositol phosphate metabolism",32,3.01,6,0.073,1,0.369
"Glyoxylate and dicarboxylate metabolism",32,3.01,6,0.073,1,0.369
"Cysteine and methionine metabolism",33,3.11,6,0.0826,1,0.393
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",6,0.565,2,0.103,1,0.462
"Thiamine metabolism",7,0.659,2,0.135,1,0.536
"D-Amino acid metabolism",14,1.32,3,0.138,1,0.536
"Pentose phosphate pathway",22,2.07,4,0.146,1,0.536
"Pyruvate metabolism",22,2.07,4,0.146,1,0.536
"Nicotinate and nicotinamide metabolism",15,1.41,3,0.161,1,0.567
"Sulfur metabolism",8,0.753,2,0.169,1,0.571
"Glycerolipid metabolism",16,1.51,3,0.185,1,0.601
"Vitamin B6 metabolism",9,0.847,2,0.205,1,0.638
"Biotin metabolism",10,0.941,2,0.241,1,0.712
"Glycerophospholipid metabolism",36,3.39,5,0.246,1,0.712
"Lysine degradation",29,2.73,4,0.289,1,0.781
"Selenocompound metabolism",20,1.88,3,0.289,1,0.781
"Fructose and mannose metabolism",21,1.98,3,0.316,1,0.793
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.377,1,0.327,1,0.793
"Riboflavin metabolism",4,0.377,1,0.327,1,0.793
"Amino sugar and nucleotide sugar metabolism",31,2.92,4,0.333,1,0.793
"Butanoate metabolism",15,1.41,2,0.42,1,0.972
"Nitrogen metabolism",6,0.565,1,0.448,1,1
"Starch and sucrose metabolism",18,1.69,2,0.517,1,1
"Tryptophan metabolism",40,3.77,4,0.529,1,1
"Valine, leucine and isoleucine biosynthesis",8,0.753,1,0.547,1,1
"Phenylalanine metabolism",8,0.753,1,0.547,1,1
"Tyrosine metabolism",42,3.95,4,0.569,1,1
"Ether lipid metabolism",20,1.88,2,0.575,1,1
"Caffeine metabolism",10,0.941,1,0.629,1,1
"Primary bile acid biosynthesis",46,4.33,4,0.644,1,1
"Galactose metabolism",26,2.45,2,0.719,1,1
"One carbon pool by folate",26,2.45,2,0.719,1,1
"Drug metabolism - other enzymes",39,3.67,3,0.727,1,1
"Lipoic acid metabolism",28,2.64,2,0.757,1,1
"Metabolism of xenobiotics by cytochrome P450",68,6.4,5,0.785,1,1
"Arachidonic acid metabolism",44,4.14,3,0.8,1,1
"Pentose and glucuronate interconversions",19,1.79,1,0.849,1,1
"Ubiquinone and other terpenoid-quinone biosynthesis",20,1.88,1,0.863,1,1
"Propanoate metabolism",22,2.07,1,0.888,1,1
"Fatty acid degradation",39,3.67,2,0.896,1,1
"Biosynthesis of various nucleotide sugars",24,2.26,1,0.909,1,1
"Steroid hormone biosynthesis",86,8.1,5,0.922,1,1
"Fatty acid biosynthesis",47,4.42,2,0.946,1,1
"Porphyrin metabolism",31,2.92,1,0.955,1,1
"Sphingolipid metabolism",33,3.11,1,0.963,1,1
"Drug metabolism - cytochrome P450",55,5.18,2,0.973,1,1
"Fatty acid elongation",38,3.58,1,0.978,1,1
"Valine, leucine and isoleucine degradation",40,3.77,1,0.982,1,1
