"","total","expected","hits","Raw p","Holm p","FDR"
"Histidine metabolism",16,1.45,8,2.62e-05,0.00212,0.00212
"Arginine biosynthesis",14,1.27,6,0.000822,0.0658,0.0333
"beta-Alanine metabolism",21,1.91,7,0.00172,0.136,0.0465
"Citrate cycle (TCA cycle)",20,1.82,6,0.0067,0.523,0.12
"Cysteine and methionine metabolism",33,3,8,0.00741,0.571,0.12
"Glutathione metabolism",28,2.54,7,0.0102,0.774,0.124
"Arginine and proline metabolism",35,3.18,8,0.0107,0.806,0.124
"Glycolysis / Gluconeogenesis",24,2.18,6,0.0172,1,0.157
"Purine metabolism",70,6.36,12,0.0204,1,0.157
"Pyrimidine metabolism",39,3.54,8,0.0206,1,0.157
"Glycine, serine and threonine metabolism",32,2.91,7,0.0213,1,0.157
"Tryptophan metabolism",40,3.63,8,0.0238,1,0.161
"Taurine and hypotaurine metabolism",8,0.727,3,0.0292,1,0.182
"Alanine, aspartate and glutamate metabolism",28,2.54,6,0.0355,1,0.206
"Biosynthesis of unsaturated fatty acids",36,3.27,7,0.0388,1,0.207
"Vitamin B6 metabolism",9,0.818,3,0.041,1,0.207
"Biotin metabolism",10,0.908,3,0.0547,1,0.261
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",6,0.545,2,0.0964,1,0.429
"Pantothenate and CoA biosynthesis",20,1.82,4,0.101,1,0.429
"Lysine degradation",29,2.63,5,0.116,1,0.469
"D-Amino acid metabolism",14,1.27,3,0.127,1,0.491
"Nicotinate and nicotinamide metabolism",15,1.36,3,0.149,1,0.539
"Glyoxylate and dicarboxylate metabolism",32,2.91,5,0.159,1,0.539
"Valine, leucine and isoleucine biosynthesis",8,0.727,2,0.16,1,0.539
"Selenocompound metabolism",20,1.82,3,0.271,1,0.863
"Drug metabolism - other enzymes",39,3.54,5,0.277,1,0.863
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.363,1,0.317,1,0.898
"Riboflavin metabolism",4,0.363,1,0.317,1,0.898
"Pyruvate metabolism",22,2,3,0.323,1,0.898
"Tyrosine metabolism",42,3.82,5,0.332,1,0.898
"Sphingolipid metabolism",33,3,4,0.352,1,0.919
"Butanoate metabolism",15,1.36,2,0.402,1,1
"Metabolism of xenobiotics by cytochrome P450",68,6.18,7,0.424,1,1
"Nitrogen metabolism",6,0.545,1,0.436,1,1
"Lipoic acid metabolism",28,2.54,3,0.475,1,1
"Phenylalanine metabolism",8,0.727,1,0.534,1,1
"Ubiquinone and other terpenoid-quinone biosynthesis",20,1.82,2,0.555,1,1
"Ether lipid metabolism",20,1.82,2,0.555,1,1
"Fructose and mannose metabolism",21,1.91,2,0.582,1,1
"Primary bile acid biosynthesis",46,4.18,4,0.614,1,1
"Caffeine metabolism",10,0.908,1,0.615,1,1
"Glycerophospholipid metabolism",36,3.27,3,0.65,1,1
"Ascorbate and aldarate metabolism",11,0.999,1,0.651,1,1
"One carbon pool by folate",26,2.36,2,0.7,1,1
"Folate biosynthesis",26,2.36,2,0.7,1,1
"Glycerolipid metabolism",16,1.45,1,0.784,1,1
"Porphyrin metabolism",31,2.82,2,0.789,1,1
"Retinol metabolism",17,1.54,1,0.804,1,1
"Inositol phosphate metabolism",32,2.91,2,0.804,1,1
"Starch and sucrose metabolism",18,1.64,1,0.822,1,1
"Terpenoid backbone biosynthesis",18,1.64,1,0.822,1,1
"Glycosphingolipid biosynthesis - globo and isoglobo series",18,1.64,1,0.822,1,1
"Pentose and glucuronate interconversions",19,1.73,1,0.838,1,1
"Pentose phosphate pathway",22,2,1,0.879,1,1
"Propanoate metabolism",22,2,1,0.879,1,1
"Drug metabolism - cytochrome P450",55,5,3,0.891,1,1
"Valine, leucine and isoleucine degradation",40,3.63,2,0.892,1,1
"Biosynthesis of various nucleotide sugars",24,2.18,1,0.9,1,1
"Steroid hormone biosynthesis",86,7.81,5,0.907,1,1
"Galactose metabolism",26,2.36,1,0.918,1,1
"Fatty acid biosynthesis",47,4.27,2,0.938,1,1
"Amino sugar and nucleotide sugar metabolism",31,2.82,1,0.949,1,1
"Fatty acid elongation",38,3.45,1,0.974,1,1
"Fatty acid degradation",39,3.54,1,0.977,1,1
"Arachidonic acid metabolism",44,4,1,0.986,1,1
