"","total","expected","hits","Raw p","Holm p","FDR"
"Histidine metabolism",16,1.57,8,4.65e-05,0.00377,0.00377
"Arginine biosynthesis",14,1.37,6,0.00125,0.0996,0.0504
"Pyrimidine metabolism",39,3.83,10,0.00317,0.251,0.0812
"Alanine, aspartate and glutamate metabolism",28,2.75,8,0.00401,0.313,0.0812
"Purine metabolism",70,6.87,14,0.00615,0.473,0.0996
"Citrate cycle (TCA cycle)",20,1.96,6,0.00976,0.742,0.132
"beta-Alanine metabolism",21,2.06,6,0.0126,0.943,0.146
"Glutathione metabolism",28,2.75,7,0.0153,1,0.151
"Arginine and proline metabolism",35,3.43,8,0.0168,1,0.151
"Biosynthesis of unsaturated fatty acids",36,3.53,8,0.0198,1,0.16
"Taurine and hypotaurine metabolism",8,0.785,3,0.0358,1,0.243
"Tryptophan metabolism",40,3.92,8,0.0359,1,0.243
"Pantothenate and CoA biosynthesis",20,1.96,5,0.0391,1,0.244
"Vitamin B6 metabolism",9,0.883,3,0.0499,1,0.26
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.392,2,0.0502,1,0.26
"Nicotinate and nicotinamide metabolism",15,1.47,4,0.0514,1,0.26
"Biotin metabolism",10,0.981,3,0.0663,1,0.316
"Glycolysis / Gluconeogenesis",24,2.35,5,0.0781,1,0.351
"Glyoxylate and dicarboxylate metabolism",32,3.14,6,0.0856,1,0.365
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",6,0.589,2,0.11,1,0.446
"Fructose and mannose metabolism",21,2.06,4,0.143,1,0.552
"D-Amino acid metabolism",14,1.37,3,0.151,1,0.556
"Phenylalanine metabolism",8,0.785,2,0.181,1,0.637
"Glycine, serine and threonine metabolism",32,3.14,5,0.199,1,0.67
"Cysteine and methionine metabolism",33,3.24,5,0.217,1,0.702
"Glycerophospholipid metabolism",36,3.53,5,0.274,1,0.852
"Ascorbate and aldarate metabolism",11,1.08,2,0.294,1,0.852
"Selenocompound metabolism",20,1.96,3,0.312,1,0.852
"Ether lipid metabolism",20,1.96,3,0.312,1,0.852
"Lysine degradation",29,2.84,4,0.315,1,0.852
"Drug metabolism - other enzymes",39,3.83,5,0.334,1,0.857
"Riboflavin metabolism",4,0.392,1,0.339,1,0.857
"Amino sugar and nucleotide sugar metabolism",31,3.04,4,0.362,1,0.877
"Pyruvate metabolism",22,2.16,3,0.368,1,0.877
"Butanoate metabolism",15,1.47,2,0.441,1,1
"Phosphonate and phosphinate metabolism",6,0.589,1,0.462,1,1
"Nitrogen metabolism",6,0.589,1,0.462,1,1
"Glycerolipid metabolism",16,1.57,2,0.476,1,1
"Metabolism of xenobiotics by cytochrome P450",68,6.67,7,0.508,1,1
"Lipoic acid metabolism",28,2.75,3,0.529,1,1
"Starch and sucrose metabolism",18,1.77,2,0.54,1,1
"Valine, leucine and isoleucine biosynthesis",8,0.785,1,0.563,1,1
"Ubiquinone and other terpenoid-quinone biosynthesis",20,1.96,2,0.599,1,1
"Tyrosine metabolism",42,4.12,4,0.603,1,1
"Sphingolipid metabolism",33,3.24,3,0.644,1,1
"Caffeine metabolism",10,0.981,1,0.645,1,1
"Pentose phosphate pathway",22,2.16,2,0.652,1,1
"Primary bile acid biosynthesis",46,4.51,4,0.677,1,1
"Galactose metabolism",26,2.55,2,0.741,1,1
"Folate biosynthesis",26,2.55,2,0.741,1,1
"Arachidonic acid metabolism",44,4.32,3,0.823,1,1
"Porphyrin metabolism",31,3.04,2,0.825,1,1
"Terpenoid backbone biosynthesis",18,1.77,1,0.846,1,1
"Glycosphingolipid biosynthesis - globo and isoglobo series",18,1.77,1,0.846,1,1
"Pentose and glucuronate interconversions",19,1.86,1,0.861,1,1
"Propanoate metabolism",22,2.16,1,0.899,1,1
"Biosynthesis of various nucleotide sugars",24,2.35,1,0.918,1,1
"Drug metabolism - cytochrome P450",55,5.39,3,0.92,1,1
"Fatty acid biosynthesis",47,4.61,2,0.955,1,1
"Inositol phosphate metabolism",32,3.14,1,0.965,1,1
"Steroid hormone biosynthesis",86,8.44,4,0.977,1,1
"Fatty acid elongation",38,3.73,1,0.981,1,1
"Fatty acid degradation",39,3.83,1,0.983,1,1
"Valine, leucine and isoleucine degradation",40,3.92,1,0.985,1,1
"Steroid biosynthesis",41,4.02,1,0.986,1,1
"Glycosphingolipid biosynthesis - lacto and neolacto series",53,5.2,1,0.996,1,1
