"","total","expected","hits","Raw p","Holm p","FDR"
"Histidine metabolism",16,1.59,8,5.13e-05,0.00416,0.00416
"Arginine biosynthesis",14,1.39,6,0.00134,0.107,0.0542
"Purine metabolism",70,6.96,15,0.00258,0.204,0.0696
"Alanine, aspartate and glutamate metabolism",28,2.78,8,0.00436,0.34,0.0884
"Citrate cycle (TCA cycle)",20,1.99,6,0.0104,0.802,0.155
"Pyrimidine metabolism",39,3.88,9,0.0116,0.881,0.155
"beta-Alanine metabolism",21,2.09,6,0.0134,1,0.155
"Glutathione metabolism",28,2.78,7,0.0164,1,0.163
"Arginine and proline metabolism",35,3.48,8,0.0181,1,0.163
"Biosynthesis of unsaturated fatty acids",36,3.58,8,0.0213,1,0.173
"Glycolysis / Gluconeogenesis",24,2.39,6,0.0259,1,0.191
"Taurine and hypotaurine metabolism",8,0.795,3,0.0371,1,0.238
"Tryptophan metabolism",40,3.98,8,0.0385,1,0.238
"Pantothenate and CoA biosynthesis",20,1.99,5,0.0411,1,0.238
"Fructose and mannose metabolism",21,2.09,5,0.0498,1,0.241
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.398,2,0.0515,1,0.241
"Vitamin B6 metabolism",9,0.895,3,0.0517,1,0.241
"Nicotinate and nicotinamide metabolism",15,1.49,4,0.0536,1,0.241
"Biotin metabolism",10,0.994,3,0.0685,1,0.292
"Glycine, serine and threonine metabolism",32,3.18,6,0.0901,1,0.348
"Glyoxylate and dicarboxylate metabolism",32,3.18,6,0.0901,1,0.348
"Cysteine and methionine metabolism",33,3.28,6,0.102,1,0.374
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",6,0.596,2,0.113,1,0.397
"D-Amino acid metabolism",14,1.39,3,0.156,1,0.525
"Phenylalanine metabolism",8,0.795,2,0.185,1,0.586
"Amino sugar and nucleotide sugar metabolism",31,3.08,5,0.188,1,0.586
"Glycerophospholipid metabolism",36,3.58,5,0.284,1,0.847
"Ascorbate and aldarate metabolism",11,1.09,2,0.3,1,0.847
"Selenocompound metabolism",20,1.99,3,0.319,1,0.847
"Ether lipid metabolism",20,1.99,3,0.319,1,0.847
"Lysine degradation",29,2.88,4,0.324,1,0.847
"Riboflavin metabolism",4,0.398,1,0.342,1,0.847
"Drug metabolism - other enzymes",39,3.88,5,0.345,1,0.847
"Pentose phosphate pathway",22,2.19,3,0.376,1,0.871
"Pyruvate metabolism",22,2.19,3,0.376,1,0.871
"Butanoate metabolism",15,1.49,2,0.448,1,0.996
"Phosphonate and phosphinate metabolism",6,0.596,1,0.467,1,0.996
"Nitrogen metabolism",6,0.596,1,0.467,1,0.996
"Glycerolipid metabolism",16,1.59,2,0.483,1,1
"Metabolism of xenobiotics by cytochrome P450",68,6.76,7,0.522,1,1
"Lipoic acid metabolism",28,2.78,3,0.538,1,1
"Starch and sucrose metabolism",18,1.79,2,0.548,1,1
"Valine, leucine and isoleucine biosynthesis",8,0.795,1,0.568,1,1
"Ubiquinone and other terpenoid-quinone biosynthesis",20,1.99,2,0.607,1,1
"Tyrosine metabolism",42,4.18,4,0.614,1,1
"Caffeine metabolism",10,0.994,1,0.65,1,1
"Sphingolipid metabolism",33,3.28,3,0.653,1,1
"Primary bile acid biosynthesis",46,4.57,4,0.687,1,1
"Galactose metabolism",26,2.58,2,0.748,1,1
"Folate biosynthesis",26,2.58,2,0.748,1,1
"Arachidonic acid metabolism",44,4.37,3,0.831,1,1
"Porphyrin metabolism",31,3.08,2,0.831,1,1
"Terpenoid backbone biosynthesis",18,1.79,1,0.85,1,1
"Glycosphingolipid biosynthesis - globo and isoglobo series",18,1.79,1,0.85,1,1
"Pentose and glucuronate interconversions",19,1.89,1,0.865,1,1
"Propanoate metabolism",22,2.19,1,0.902,1,1
"Biosynthesis of various nucleotide sugars",24,2.39,1,0.921,1,1
"Drug metabolism - cytochrome P450",55,5.47,3,0.924,1,1
"Fatty acid biosynthesis",47,4.67,2,0.957,1,1
"Inositol phosphate metabolism",32,3.18,1,0.966,1,1
"Steroid hormone biosynthesis",86,8.55,4,0.979,1,1
"Fatty acid elongation",38,3.78,1,0.982,1,1
"Fatty acid degradation",39,3.88,1,0.984,1,1
"Valine, leucine and isoleucine degradation",40,3.98,1,0.986,1,1
"Steroid biosynthesis",41,4.08,1,0.987,1,1
"Glycosphingolipid biosynthesis - lacto and neolacto series",53,5.27,1,0.996,1,1
