"","total","expected","hits","Raw p","Holm p","FDR"
"Histidine metabolism",16,1.61,8,5.66e-05,0.00458,0.00458
"Pyrimidine metabolism",39,3.93,12,0.00025,0.02,0.00883
"Purine metabolism",70,7.05,17,0.000327,0.0258,0.00883
"Arginine biosynthesis",14,1.41,6,0.00144,0.112,0.0291
"Riboflavin metabolism",4,0.403,3,0.00372,0.286,0.0602
"Citrate cycle (TCA cycle)",20,2.01,6,0.0111,0.843,0.15
"beta-Alanine metabolism",21,2.12,6,0.0143,1,0.165
"Biosynthesis of unsaturated fatty acids",36,3.63,8,0.023,1,0.232
"Glycolysis / Gluconeogenesis",24,2.42,6,0.0275,1,0.247
"Taurine and hypotaurine metabolism",8,0.806,3,0.0384,1,0.304
"Cysteine and methionine metabolism",33,3.32,7,0.0413,1,0.304
"Arginine and proline metabolism",35,3.53,7,0.0548,1,0.318
"Alanine, aspartate and glutamate metabolism",28,2.82,6,0.0549,1,0.318
"Glutathione metabolism",28,2.82,6,0.0549,1,0.318
"Glycine, serine and threonine metabolism",32,3.22,6,0.0947,1,0.512
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",6,0.604,2,0.115,1,0.584
"Pantothenate and CoA biosynthesis",20,2.01,4,0.134,1,0.64
"D-Amino acid metabolism",14,1.41,3,0.16,1,0.72
"Drug metabolism - other enzymes",39,3.93,6,0.192,1,0.82
"Vitamin B6 metabolism",9,0.907,2,0.227,1,0.899
"Sphingolipid metabolism",33,3.32,5,0.233,1,0.899
"Biotin metabolism",10,1.01,2,0.267,1,0.982
"Glycerophospholipid metabolism",36,3.63,5,0.293,1,1
"Selenocompound metabolism",20,2.01,3,0.327,1,1
"Lysine degradation",29,2.92,4,0.333,1,1
"Fructose and mannose metabolism",21,2.12,3,0.356,1,1
"Porphyrin metabolism",31,3.12,4,0.382,1,1
"Pyruvate metabolism",22,2.22,3,0.385,1,1
"Glyoxylate and dicarboxylate metabolism",32,3.22,4,0.405,1,1
"Butanoate metabolism",15,1.51,2,0.456,1,1
"Nicotinate and nicotinamide metabolism",15,1.51,2,0.456,1,1
"Arachidonic acid metabolism",44,4.43,5,0.46,1,1
"Phosphonate and phosphinate metabolism",6,0.604,1,0.472,1,1
"Nitrogen metabolism",6,0.604,1,0.472,1,1
"Glycerolipid metabolism",16,1.61,2,0.49,1,1
"Primary bile acid biosynthesis",46,4.63,5,0.501,1,1
"Lipoic acid metabolism",28,2.82,3,0.547,1,1
"Starch and sucrose metabolism",18,1.81,2,0.555,1,1
"Valine, leucine and isoleucine biosynthesis",8,0.806,1,0.573,1,1
"Sulfur metabolism",8,0.806,1,0.573,1,1
"Tryptophan metabolism",40,4.03,4,0.585,1,1
"Ether lipid metabolism",20,2.01,2,0.614,1,1
"Amino sugar and nucleotide sugar metabolism",31,3.12,3,0.619,1,1
"Tyrosine metabolism",42,4.23,4,0.625,1,1
"Caffeine metabolism",10,1.01,1,0.655,1,1
"Pentose phosphate pathway",22,2.22,2,0.667,1,1
"Ascorbate and aldarate metabolism",11,1.11,1,0.69,1,1
"Metabolism of xenobiotics by cytochrome P450",68,6.85,6,0.698,1,1
"Folate biosynthesis",26,2.62,2,0.755,1,1
"Inositol phosphate metabolism",32,3.22,2,0.85,1,1
"Terpenoid backbone biosynthesis",18,1.81,1,0.854,1,1
"Glycosphingolipid biosynthesis - globo and isoglobo series",18,1.81,1,0.854,1,1
"Pentose and glucuronate interconversions",19,1.91,1,0.869,1,1
"Ubiquinone and other terpenoid-quinone biosynthesis",20,2.01,1,0.882,1,1
"Propanoate metabolism",22,2.22,1,0.905,1,1
"Biosynthesis of various nucleotide sugars",24,2.42,1,0.923,1,1
"Drug metabolism - cytochrome P450",55,5.54,3,0.929,1,1
"Steroid biosynthesis",41,4.13,2,0.931,1,1
"Galactose metabolism",26,2.62,1,0.938,1,1
"One carbon pool by folate",26,2.62,1,0.938,1,1
"Fatty acid biosynthesis",47,4.73,2,0.96,1,1
"Steroid hormone biosynthesis",86,8.66,4,0.981,1,1
"Fatty acid elongation",38,3.83,1,0.983,1,1
"Fatty acid degradation",39,3.93,1,0.985,1,1
"Valine, leucine and isoleucine degradation",40,4.03,1,0.987,1,1
