"","total","expected","hits","Raw p","Holm p","FDR"
"Histidine metabolism",16,1.59,8,5.13e-05,0.00416,0.00416
"Pyrimidine metabolism",39,3.88,12,0.00022,0.0176,0.0075
"Purine metabolism",70,6.96,17,0.000278,0.0219,0.0075
"Arginine biosynthesis",14,1.39,6,0.00134,0.104,0.0271
"Riboflavin metabolism",4,0.398,3,0.00358,0.275,0.0579
"Citrate cycle (TCA cycle)",20,1.99,6,0.0104,0.791,0.141
"beta-Alanine metabolism",21,2.09,6,0.0134,1,0.155
"Biosynthesis of unsaturated fatty acids",36,3.58,8,0.0213,1,0.216
"Glycolysis / Gluconeogenesis",24,2.39,6,0.0259,1,0.233
"Taurine and hypotaurine metabolism",8,0.795,3,0.0371,1,0.286
"Cysteine and methionine metabolism",33,3.28,7,0.0388,1,0.286
"Arginine and proline metabolism",35,3.48,7,0.0516,1,0.301
"Alanine, aspartate and glutamate metabolism",28,2.78,6,0.052,1,0.301
"Glutathione metabolism",28,2.78,6,0.052,1,0.301
"Glycine, serine and threonine metabolism",32,3.18,6,0.0901,1,0.487
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",6,0.596,2,0.113,1,0.571
"Pantothenate and CoA biosynthesis",20,1.99,4,0.13,1,0.617
"D-Amino acid metabolism",14,1.39,3,0.156,1,0.7
"Drug metabolism - other enzymes",39,3.88,6,0.184,1,0.785
"Vitamin B6 metabolism",9,0.895,2,0.223,1,0.868
"Sphingolipid metabolism",33,3.28,5,0.225,1,0.868
"Biotin metabolism",10,0.994,2,0.261,1,0.963
"Glycerophospholipid metabolism",36,3.58,5,0.284,1,0.999
"Selenocompound metabolism",20,1.99,3,0.319,1,1
"Lysine degradation",29,2.88,4,0.324,1,1
"Fructose and mannose metabolism",21,2.09,3,0.348,1,1
"Porphyrin metabolism",31,3.08,4,0.372,1,1
"Pentose phosphate pathway",22,2.19,3,0.376,1,1
"Pyruvate metabolism",22,2.19,3,0.376,1,1
"Glyoxylate and dicarboxylate metabolism",32,3.18,4,0.395,1,1
"Butanoate metabolism",15,1.49,2,0.448,1,1
"Nicotinate and nicotinamide metabolism",15,1.49,2,0.448,1,1
"Phosphonate and phosphinate metabolism",6,0.596,1,0.467,1,1
"Nitrogen metabolism",6,0.596,1,0.467,1,1
"Glycerolipid metabolism",16,1.59,2,0.483,1,1
"Primary bile acid biosynthesis",46,4.57,5,0.489,1,1
"Lipoic acid metabolism",28,2.78,3,0.538,1,1
"Starch and sucrose metabolism",18,1.79,2,0.548,1,1
"Valine, leucine and isoleucine biosynthesis",8,0.795,1,0.568,1,1
"Sulfur metabolism",8,0.795,1,0.568,1,1
"Tryptophan metabolism",40,3.98,4,0.574,1,1
"Ether lipid metabolism",20,1.99,2,0.607,1,1
"Amino sugar and nucleotide sugar metabolism",31,3.08,3,0.61,1,1
"Tyrosine metabolism",42,4.18,4,0.614,1,1
"Caffeine metabolism",10,0.994,1,0.65,1,1
"Arachidonic acid metabolism",44,4.37,4,0.652,1,1
"Ascorbate and aldarate metabolism",11,1.09,1,0.685,1,1
"Folate biosynthesis",26,2.58,2,0.748,1,1
"Metabolism of xenobiotics by cytochrome P450",68,6.76,5,0.825,1,1
"Inositol phosphate metabolism",32,3.18,2,0.844,1,1
"Terpenoid backbone biosynthesis",18,1.79,1,0.85,1,1
"Glycosphingolipid biosynthesis - globo and isoglobo series",18,1.79,1,0.85,1,1
"Pentose and glucuronate interconversions",19,1.89,1,0.865,1,1
"Ubiquinone and other terpenoid-quinone biosynthesis",20,1.99,1,0.879,1,1
"Propanoate metabolism",22,2.19,1,0.902,1,1
"Biosynthesis of various nucleotide sugars",24,2.39,1,0.921,1,1
"Drug metabolism - cytochrome P450",55,5.47,3,0.924,1,1
"Galactose metabolism",26,2.58,1,0.936,1,1
"One carbon pool by folate",26,2.58,1,0.936,1,1
"Fatty acid biosynthesis",47,4.67,2,0.957,1,1
"Steroid hormone biosynthesis",86,8.55,4,0.979,1,1
"Fatty acid elongation",38,3.78,1,0.982,1,1
"Fatty acid degradation",39,3.88,1,0.984,1,1
"Valine, leucine and isoleucine degradation",40,3.98,1,0.986,1,1
"Steroid biosynthesis",41,4.08,1,0.987,1,1
