"","total","expected","hits","Raw p","Holm p","FDR"
"Purine metabolism",70,7.6,19,7.92e-05,0.00642,0.00642
"Taurine and hypotaurine metabolism",8,0.869,5,0.000609,0.0487,0.0156
"Pantothenate and CoA biosynthesis",20,2.17,8,0.000658,0.052,0.0156
"Histidine metabolism",16,1.74,7,0.000771,0.0601,0.0156
"Arginine biosynthesis",14,1.52,6,0.00214,0.165,0.0347
"Glycolysis / Gluconeogenesis",24,2.61,8,0.00262,0.199,0.0353
"Pyrimidine metabolism",39,4.24,10,0.00672,0.504,0.0778
"Vitamin B6 metabolism",9,0.978,4,0.0109,0.808,0.111
"Citrate cycle (TCA cycle)",20,2.17,6,0.0159,1,0.143
"beta-Alanine metabolism",21,2.28,6,0.0203,1,0.164
"Pentose phosphate pathway",22,2.39,6,0.0254,1,0.174
"Alanine, aspartate and glutamate metabolism",28,3.04,7,0.0258,1,0.174
"Arginine and proline metabolism",35,3.8,8,0.0295,1,0.184
"Glycine, serine and threonine metabolism",32,3.48,7,0.0506,1,0.289
"D-Amino acid metabolism",14,1.52,4,0.0563,1,0.289
"Cysteine and methionine metabolism",33,3.58,7,0.0586,1,0.289
"Riboflavin metabolism",4,0.434,2,0.0607,1,0.289
"Nicotinate and nicotinamide metabolism",15,1.63,4,0.0705,1,0.317
"Glutathione metabolism",28,3.04,6,0.0745,1,0.317
"Biosynthesis of unsaturated fatty acids",36,3.91,7,0.0869,1,0.352
"Inositol phosphate metabolism",32,3.48,6,0.125,1,0.461
"Glyoxylate and dicarboxylate metabolism",32,3.48,6,0.125,1,0.461
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",6,0.652,2,0.131,1,0.462
"Thiamine metabolism",7,0.76,2,0.171,1,0.574
"Fructose and mannose metabolism",21,2.28,4,0.187,1,0.574
"Glycerophospholipid metabolism",36,3.91,6,0.189,1,0.574
"Lysine degradation",29,3.15,5,0.2,1,0.574
"Pyruvate metabolism",22,2.39,4,0.21,1,0.574
"Valine, leucine and isoleucine biosynthesis",8,0.869,2,0.213,1,0.574
"Sulfur metabolism",8,0.869,2,0.213,1,0.574
"Glycerolipid metabolism",16,1.74,3,0.248,1,0.648
"Biotin metabolism",10,1.09,2,0.297,1,0.753
"Ascorbate and aldarate metabolism",11,1.19,2,0.339,1,0.833
"Selenocompound metabolism",20,2.17,3,0.372,1,0.862
"Ether lipid metabolism",20,2.17,3,0.372,1,0.862
"Amino sugar and nucleotide sugar metabolism",31,3.37,4,0.44,1,0.969
"Tryptophan metabolism",40,4.34,5,0.443,1,0.969
"Butanoate metabolism",15,1.63,2,0.497,1,1
"Phosphonate and phosphinate metabolism",6,0.652,1,0.499,1,1
"Nitrogen metabolism",6,0.652,1,0.499,1,1
"Starch and sucrose metabolism",18,1.96,2,0.598,1,1
"Lipoic acid metabolism",28,3.04,3,0.601,1,1
"Caffeine metabolism",10,1.09,1,0.684,1,1
"Tyrosine metabolism",42,4.56,4,0.686,1,1
"Primary bile acid biosynthesis",46,5,4,0.755,1,1
"Metabolism of xenobiotics by cytochrome P450",68,7.39,6,0.768,1,1
"Galactose metabolism",26,2.82,2,0.793,1,1
"One carbon pool by folate",26,2.82,2,0.793,1,1
"Drug metabolism - other enzymes",39,4.24,3,0.815,1,1
"Drug metabolism - cytochrome P450",55,5.97,4,0.866,1,1
"Porphyrin metabolism",31,3.37,2,0.867,1,1
"Arachidonic acid metabolism",44,4.78,3,0.874,1,1
"Terpenoid backbone biosynthesis",18,1.96,1,0.875,1,1
"Pentose and glucuronate interconversions",19,2.06,1,0.889,1,1
"Ubiquinone and other terpenoid-quinone biosynthesis",20,2.17,1,0.901,1,1
"Propanoate metabolism",22,2.39,1,0.922,1,1
"Fatty acid degradation",39,4.24,2,0.937,1,1
"Biosynthesis of various nucleotide sugars",24,2.61,1,0.938,1,1
"Valine, leucine and isoleucine degradation",40,4.34,2,0.943,1,1
"Folate biosynthesis",26,2.82,1,0.951,1,1
"Steroid hormone biosynthesis",86,9.34,5,0.967,1,1
"Fatty acid biosynthesis",47,5.11,2,0.971,1,1
"Sphingolipid metabolism",33,3.58,1,0.978,1,1
"Fatty acid elongation",38,4.13,1,0.988,1,1
"Glycosphingolipid biosynthesis - lacto and neolacto series",53,5.76,1,0.998,1,1
