"","total","expected","hits","Raw p","Holm p","FDR"
"Purine metabolism",70,7.47,21,4.18e-06,0.000339,0.000339
"Taurine and hypotaurine metabolism",8,0.853,5,0.000558,0.0446,0.0226
"Glycolysis / Gluconeogenesis",24,2.56,8,0.00232,0.184,0.0627
"Histidine metabolism",16,1.71,6,0.00433,0.337,0.0876
"Pyrimidine metabolism",39,4.16,10,0.00589,0.453,0.0954
"Vitamin B6 metabolism",9,0.96,4,0.0102,0.777,0.131
"Arginine biosynthesis",14,1.49,5,0.0117,0.875,0.131
"Citrate cycle (TCA cycle)",20,2.13,6,0.0146,1,0.131
"Pantothenate and CoA biosynthesis",20,2.13,6,0.0146,1,0.131
"beta-Alanine metabolism",21,2.24,6,0.0186,1,0.151
"Pentose phosphate pathway",22,2.35,6,0.0234,1,0.159
"Alanine, aspartate and glutamate metabolism",28,2.99,7,0.0235,1,0.159
"Biosynthesis of unsaturated fatty acids",36,3.84,8,0.0313,1,0.195
"Glycine, serine and threonine metabolism",32,3.41,7,0.0465,1,0.269
"Riboflavin metabolism",4,0.427,2,0.0587,1,0.317
"Nicotinate and nicotinamide metabolism",15,1.6,4,0.0667,1,0.337
"Inositol phosphate metabolism",32,3.41,6,0.117,1,0.527
"Glyoxylate and dicarboxylate metabolism",32,3.41,6,0.117,1,0.527
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",6,0.64,2,0.127,1,0.531
"Cysteine and methionine metabolism",33,3.52,6,0.131,1,0.531
"Arginine and proline metabolism",35,3.73,6,0.162,1,0.564
"Thiamine metabolism",7,0.747,2,0.166,1,0.564
"Glutathione metabolism",28,2.99,5,0.171,1,0.564
"Glycerophospholipid metabolism",36,3.84,6,0.178,1,0.564
"Fructose and mannose metabolism",21,2.24,4,0.178,1,0.564
"D-Amino acid metabolism",14,1.49,3,0.181,1,0.564
"Lysine degradation",29,3.09,5,0.19,1,0.569
"Pyruvate metabolism",22,2.35,4,0.201,1,0.577
"Sulfur metabolism",8,0.853,2,0.207,1,0.577
"Glycerolipid metabolism",16,1.71,3,0.239,1,0.645
"Biotin metabolism",10,1.07,2,0.29,1,0.757
"Ascorbate and aldarate metabolism",11,1.17,2,0.331,1,0.838
"Selenocompound metabolism",20,2.13,3,0.361,1,0.841
"Ether lipid metabolism",20,2.13,3,0.361,1,0.841
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.427,1,0.363,1,0.841
"Tryptophan metabolism",40,4.27,5,0.426,1,0.959
"Butanoate metabolism",15,1.6,2,0.487,1,1
"Phosphonate and phosphinate metabolism",6,0.64,1,0.492,1,1
"Nitrogen metabolism",6,0.64,1,0.492,1,1
"Starch and sucrose metabolism",18,1.92,2,0.588,1,1
"Lipoic acid metabolism",28,2.99,3,0.588,1,1
"Valine, leucine and isoleucine biosynthesis",8,0.853,1,0.595,1,1
"Phenylalanine metabolism",8,0.853,1,0.595,1,1
"Amino sugar and nucleotide sugar metabolism",31,3.31,3,0.659,1,1
"Tyrosine metabolism",42,4.48,4,0.672,1,1
"Caffeine metabolism",10,1.07,1,0.677,1,1
"Primary bile acid biosynthesis",46,4.91,4,0.741,1,1
"Metabolism of xenobiotics by cytochrome P450",68,7.25,6,0.751,1,1
"Galactose metabolism",26,2.77,2,0.784,1,1
"One carbon pool by folate",26,2.77,2,0.784,1,1
"Drug metabolism - other enzymes",39,4.16,3,0.804,1,1
"Porphyrin metabolism",31,3.31,2,0.86,1,1
"Arachidonic acid metabolism",44,4.69,3,0.866,1,1
"Terpenoid backbone biosynthesis",18,1.92,1,0.87,1,1
"Pentose and glucuronate interconversions",19,2.03,1,0.884,1,1
"Ubiquinone and other terpenoid-quinone biosynthesis",20,2.13,1,0.897,1,1
"Steroid hormone biosynthesis",86,9.17,6,0.913,1,1
"Propanoate metabolism",22,2.35,1,0.918,1,1
"Fatty acid degradation",39,4.16,2,0.933,1,1
"Biosynthesis of various nucleotide sugars",24,2.56,1,0.935,1,1
"Drug metabolism - cytochrome P450",55,5.87,3,0.945,1,1
"Folate biosynthesis",26,2.77,1,0.948,1,1
"Fatty acid biosynthesis",47,5.01,2,0.969,1,1
"Sphingolipid metabolism",33,3.52,1,0.977,1,1
"Fatty acid elongation",38,4.05,1,0.987,1,1
"Valine, leucine and isoleucine degradation",40,4.27,1,0.99,1,1
"Glycosphingolipid biosynthesis - lacto and neolacto series",53,5.65,1,0.998,1,1
