"","total","expected","hits","Raw p","Holm p","FDR"
"Histidine metabolism",16,1.39,7,0.000188,0.0152,0.0152
"Purine metabolism",70,6.08,15,0.000621,0.0497,0.0174
"Arginine biosynthesis",14,1.22,6,0.000645,0.051,0.0174
"Alanine, aspartate and glutamate metabolism",28,2.43,8,0.00184,0.143,0.0372
"Citrate cycle (TCA cycle)",20,1.74,6,0.00537,0.413,0.087
"beta-Alanine metabolism",21,1.82,6,0.00699,0.531,0.0944
"Arginine and proline metabolism",35,3.04,8,0.00824,0.618,0.0954
"Biosynthesis of unsaturated fatty acids",36,3.13,8,0.00984,0.728,0.0996
"Pyrimidine metabolism",39,3.39,8,0.016,1,0.144
"Selenocompound metabolism",20,1.74,5,0.0245,1,0.169
"Pantothenate and CoA biosynthesis",20,1.74,5,0.0245,1,0.169
"Taurine and hypotaurine metabolism",8,0.695,3,0.026,1,0.169
"D-Amino acid metabolism",14,1.22,4,0.0274,1,0.169
"Glutathione metabolism",28,2.43,6,0.0293,1,0.169
"Vitamin B6 metabolism",9,0.782,3,0.0365,1,0.197
"Biotin metabolism",10,0.869,3,0.0489,1,0.225
"Glycolysis / Gluconeogenesis",24,2.09,5,0.0507,1,0.225
"Glycine, serine and threonine metabolism",32,2.78,6,0.0529,1,0.225
"Glyoxylate and dicarboxylate metabolism",32,2.78,6,0.0529,1,0.225
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",6,0.521,2,0.0891,1,0.361
"Pentose phosphate pathway",22,1.91,4,0.117,1,0.451
"Nicotinate and nicotinamide metabolism",15,1.3,3,0.135,1,0.497
"Valine, leucine and isoleucine biosynthesis",8,0.695,2,0.149,1,0.514
"Cysteine and methionine metabolism",33,2.87,5,0.152,1,0.514
"Lysine degradation",29,2.52,4,0.241,1,0.769
"Ascorbate and aldarate metabolism",11,0.956,2,0.247,1,0.769
"Pyruvate metabolism",22,1.91,3,0.298,1,0.883
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.348,1,0.305,1,0.883
"Metabolism of xenobiotics by cytochrome P450",68,5.91,7,0.378,1,1
"Butanoate metabolism",15,1.3,2,0.38,1,1
"Glycerolipid metabolism",16,1.39,2,0.412,1,1
"Nitrogen metabolism",6,0.521,1,0.421,1,1
"Drug metabolism - other enzymes",39,3.39,4,0.444,1,1
"Lipoic acid metabolism",28,2.43,3,0.445,1,1
"Tryptophan metabolism",40,3.48,4,0.464,1,1
"Phenylalanine metabolism",8,0.695,1,0.518,1,1
"Ether lipid metabolism",20,1.74,2,0.53,1,1
"Fructose and mannose metabolism",21,1.82,2,0.557,1,1
"Primary bile acid biosynthesis",46,4,4,0.578,1,1
"Caffeine metabolism",10,0.869,1,0.598,1,1
"Glycerophospholipid metabolism",36,3.13,3,0.619,1,1
"Folate biosynthesis",26,2.26,2,0.676,1,1
"Tyrosine metabolism",42,3.65,3,0.723,1,1
"Inositol phosphate metabolism",32,2.78,2,0.783,1,1
"Starch and sucrose metabolism",18,1.56,1,0.807,1,1
"Terpenoid backbone biosynthesis",18,1.56,1,0.807,1,1
"Pentose and glucuronate interconversions",19,1.65,1,0.824,1,1
"Ubiquinone and other terpenoid-quinone biosynthesis",20,1.74,1,0.84,1,1
"Propanoate metabolism",22,1.91,1,0.867,1,1
"Drug metabolism - cytochrome P450",55,4.78,3,0.872,1,1
"Valine, leucine and isoleucine degradation",40,3.48,2,0.877,1,1
"Steroid hormone biosynthesis",86,7.47,5,0.885,1,1
"Biosynthesis of various nucleotide sugars",24,2.09,1,0.889,1,1
"Galactose metabolism",26,2.26,1,0.908,1,1
"One carbon pool by folate",26,2.26,1,0.908,1,1
"Arachidonic acid metabolism",44,3.82,2,0.908,1,1
"Fatty acid biosynthesis",47,4.08,2,0.927,1,1
"Amino sugar and nucleotide sugar metabolism",31,2.69,1,0.942,1,1
"Porphyrin metabolism",31,2.69,1,0.942,1,1
"Sphingolipid metabolism",33,2.87,1,0.952,1,1
"Fatty acid elongation",38,3.3,1,0.97,1,1
"Fatty acid degradation",39,3.39,1,0.972,1,1
