"","total","expected","hits","Raw p","Holm p","FDR"
"Histidine metabolism",16,1.16,7,5.74e-05,0.00465,0.00465
"Arginine biosynthesis",14,1.01,6,0.000235,0.0188,0.0095
"Citrate cycle (TCA cycle)",20,1.45,6,0.00211,0.167,0.0518
"beta-Alanine metabolism",21,1.52,6,0.00278,0.217,0.0518
"Biosynthesis of unsaturated fatty acids",36,2.61,8,0.0032,0.246,0.0518
"Glycolysis / Gluconeogenesis",24,1.74,6,0.00577,0.438,0.0778
"Alanine, aspartate and glutamate metabolism",28,2.03,6,0.0127,0.954,0.147
"Taurine and hypotaurine metabolism",8,0.579,3,0.0158,1,0.16
"Pyrimidine metabolism",39,2.82,7,0.0191,1,0.172
"Purine metabolism",70,5.07,10,0.0258,1,0.205
"Cysteine and methionine metabolism",33,2.39,6,0.0278,1,0.205
"Biotin metabolism",10,0.724,3,0.0305,1,0.206
"Arginine and proline metabolism",35,2.53,6,0.0362,1,0.226
"Glutathione metabolism",28,2.03,5,0.0467,1,0.27
"Pantothenate and CoA biosynthesis",20,1.45,4,0.0511,1,0.27
"Lysine degradation",29,2.1,5,0.0533,1,0.27
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",6,0.434,2,0.0643,1,0.306
"D-Amino acid metabolism",14,1.01,3,0.0749,1,0.308
"Glycine, serine and threonine metabolism",32,2.32,5,0.0761,1,0.308
"Glyoxylate and dicarboxylate metabolism",32,2.32,5,0.0761,1,0.308
"Nicotinate and nicotinamide metabolism",15,1.09,3,0.0888,1,0.343
"Valine, leucine and isoleucine biosynthesis",8,0.579,2,0.109,1,0.402
"Vitamin B6 metabolism",9,0.652,2,0.134,1,0.472
"Tryptophan metabolism",40,2.9,5,0.158,1,0.534
"Selenocompound metabolism",20,1.45,3,0.172,1,0.557
"Pyruvate metabolism",22,1.59,3,0.21,1,0.654
"Butanoate metabolism",15,1.09,2,0.297,1,0.891
"Lipoic acid metabolism",28,2.03,3,0.331,1,0.957
"Nitrogen metabolism",6,0.434,1,0.364,1,0.998
"Metabolism of xenobiotics by cytochrome P450",68,4.92,6,0.37,1,0.998
"Primary bile acid biosynthesis",46,3.33,4,0.43,1,1
"Ether lipid metabolism",20,1.45,2,0.431,1,1
"Fructose and mannose metabolism",21,1.52,2,0.457,1,1
"Glycerophospholipid metabolism",36,2.61,3,0.491,1,1
"Caffeine metabolism",10,0.724,1,0.53,1,1
"Ascorbate and aldarate metabolism",11,0.797,1,0.564,1,1
"Folate biosynthesis",26,1.88,2,0.573,1,1
"Tyrosine metabolism",42,3.04,3,0.598,1,1
"Inositol phosphate metabolism",32,2.32,2,0.688,1,1
"Glycerolipid metabolism",16,1.16,1,0.701,1,1
"Starch and sucrose metabolism",18,1.3,1,0.744,1,1
"Terpenoid backbone biosynthesis",18,1.3,1,0.744,1,1
"Pentose and glucuronate interconversions",19,1.38,1,0.762,1,1
"Steroid hormone biosynthesis",86,6.23,5,0.763,1,1
"Drug metabolism - other enzymes",39,2.82,2,0.788,1,1
"Valine, leucine and isoleucine degradation",40,2.9,2,0.8,1,1
"Pentose phosphate pathway",22,1.59,1,0.811,1,1
"Propanoate metabolism",22,1.59,1,0.811,1,1
"Biosynthesis of various nucleotide sugars",24,1.74,1,0.838,1,1
"Galactose metabolism",26,1.88,1,0.861,1,1
"One carbon pool by folate",26,1.88,1,0.861,1,1
"Fatty acid biosynthesis",47,3.4,2,0.868,1,1
"Amino sugar and nucleotide sugar metabolism",31,2.24,1,0.905,1,1
"Porphyrin metabolism",31,2.24,1,0.905,1,1
"Sphingolipid metabolism",33,2.39,1,0.919,1,1
"Fatty acid elongation",38,2.75,1,0.945,1,1
"Fatty acid degradation",39,2.82,1,0.949,1,1
"Arachidonic acid metabolism",44,3.19,1,0.965,1,1
"Drug metabolism - cytochrome P450",55,3.98,1,0.985,1,1
