"","total","expected","hits","Raw p","Holm p","FDR"
"Histidine metabolism",16,1.33,8,1.32e-05,0.00107,0.00107
"Arginine biosynthesis",14,1.16,6,0.000499,0.04,0.0202
"Purine metabolism",70,5.81,14,0.00123,0.0969,0.0331
"Pyrimidine metabolism",39,3.24,9,0.00347,0.271,0.0559
"Citrate cycle (TCA cycle)",20,1.66,6,0.00425,0.327,0.0559
"beta-Alanine metabolism",21,1.74,6,0.00555,0.422,0.0559
"Alanine, aspartate and glutamate metabolism",28,2.32,7,0.00619,0.464,0.0559
"Glutathione metabolism",28,2.32,7,0.00619,0.464,0.0559
"Arginine and proline metabolism",35,2.9,8,0.00622,0.464,0.0559
"Biosynthesis of unsaturated fatty acids",36,2.99,8,0.00744,0.536,0.0603
"Glycolysis / Gluconeogenesis",24,1.99,6,0.0112,0.794,0.0824
"Pantothenate and CoA biosynthesis",20,1.66,5,0.0204,1,0.137
"Taurine and hypotaurine metabolism",8,0.664,3,0.0229,1,0.143
"Vitamin B6 metabolism",9,0.747,3,0.0323,1,0.187
"Biotin metabolism",10,0.829,3,0.0434,1,0.207
"Glycine, serine and threonine metabolism",32,2.65,6,0.0435,1,0.207
"Glyoxylate and dicarboxylate metabolism",32,2.65,6,0.0435,1,0.207
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",6,0.498,2,0.0821,1,0.369
"D-Amino acid metabolism",14,1.16,3,0.103,1,0.441
"Nicotinate and nicotinamide metabolism",15,1.24,3,0.122,1,0.493
"Cysteine and methionine metabolism",33,2.74,5,0.132,1,0.509
"Lysine degradation",29,2.41,4,0.215,1,0.746
"Selenocompound metabolism",20,1.66,3,0.227,1,0.746
"Ether lipid metabolism",20,1.66,3,0.227,1,0.746
"Ascorbate and aldarate metabolism",11,0.912,2,0.23,1,0.746
"Pentose phosphate pathway",22,1.82,3,0.273,1,0.82
"Pyruvate metabolism",22,1.82,3,0.273,1,0.82
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.332,1,0.293,1,0.848
"Metabolism of xenobiotics by cytochrome P450",68,5.64,7,0.332,1,0.927
"Glycerophospholipid metabolism",36,2.99,4,0.349,1,0.934
"Butanoate metabolism",15,1.24,2,0.357,1,0.934
"Glycerolipid metabolism",16,1.33,2,0.388,1,0.959
"Phosphonate and phosphinate metabolism",6,0.498,1,0.406,1,0.959
"Nitrogen metabolism",6,0.498,1,0.406,1,0.959
"Lipoic acid metabolism",28,2.32,3,0.414,1,0.959
"Tryptophan metabolism",40,3.32,4,0.427,1,0.961
"Valine, leucine and isoleucine biosynthesis",8,0.664,1,0.501,1,1
"Phenylalanine metabolism",8,0.664,1,0.501,1,1
"Fructose and mannose metabolism",21,1.74,2,0.531,1,1
"Primary bile acid biosynthesis",46,3.82,4,0.539,1,1
"Caffeine metabolism",10,0.829,1,0.58,1,1
"Drug metabolism - other enzymes",39,3.24,3,0.642,1,1
"Tyrosine metabolism",42,3.48,3,0.692,1,1
"Starch and sucrose metabolism",18,1.49,1,0.792,1,1
"Terpenoid backbone biosynthesis",18,1.49,1,0.792,1,1
"Pentose and glucuronate interconversions",19,1.58,1,0.809,1,1
"Ubiquinone and other terpenoid-quinone biosynthesis",20,1.66,1,0.825,1,1
"Propanoate metabolism",22,1.82,1,0.853,1,1
"Biosynthesis of various nucleotide sugars",24,1.99,1,0.877,1,1
"Arachidonic acid metabolism",44,3.65,2,0.893,1,1
"Galactose metabolism",26,2.16,1,0.897,1,1
"Folate biosynthesis",26,2.16,1,0.897,1,1
"Fatty acid biosynthesis",47,3.9,2,0.914,1,1
"Amino sugar and nucleotide sugar metabolism",31,2.57,1,0.934,1,1
"Porphyrin metabolism",31,2.57,1,0.934,1,1
"Inositol phosphate metabolism",32,2.65,1,0.939,1,1
"Sphingolipid metabolism",33,2.74,1,0.944,1,1
"Drug metabolism - cytochrome P450",55,4.56,2,0.952,1,1
"Fatty acid elongation",38,3.15,1,0.964,1,1
"Fatty acid degradation",39,3.24,1,0.967,1,1
"Valine, leucine and isoleucine degradation",40,3.32,1,0.97,1,1
"Steroid hormone biosynthesis",86,7.13,3,0.98,1,1
"Glycosphingolipid biosynthesis - lacto and neolacto series",53,4.4,1,0.991,1,1
