"","total","expected","hits","Raw p","Holm p","FDR"
"Histidine metabolism",16,1.27,8,9.68e-06,0.000784,0.000784
"Purine metabolism",70,5.58,15,0.000233,0.0186,0.00944
"Arginine biosynthesis",14,1.12,6,0.000399,0.0315,0.0108
"Pyrimidine metabolism",39,3.11,9,0.00262,0.204,0.053
"Citrate cycle (TCA cycle)",20,1.59,6,0.00345,0.266,0.056
"beta-Alanine metabolism",21,1.67,6,0.00453,0.344,0.0611
"Biosynthesis of unsaturated fatty acids",36,2.87,8,0.00581,0.436,0.0673
"Glycolysis / Gluconeogenesis",24,1.91,6,0.00921,0.681,0.0932
"Arginine and proline metabolism",35,2.79,7,0.0175,1,0.139
"Alanine, aspartate and glutamate metabolism",28,2.23,6,0.0198,1,0.139
"Glutathione metabolism",28,2.23,6,0.0198,1,0.139
"Taurine and hypotaurine metabolism",8,0.637,3,0.0205,1,0.139
"Riboflavin metabolism",4,0.319,2,0.0339,1,0.212
"Glycine, serine and threonine metabolism",32,2.55,6,0.0366,1,0.212
"Cysteine and methionine metabolism",33,2.63,6,0.042,1,0.227
"Pantothenate and CoA biosynthesis",20,1.59,4,0.0684,1,0.346
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",6,0.478,2,0.0764,1,0.364
"D-Amino acid metabolism",14,1.12,3,0.094,1,0.423
"Vitamin B6 metabolism",9,0.717,2,0.157,1,0.669
"Biotin metabolism",10,0.797,2,0.186,1,0.752
"Lysine degradation",29,2.31,4,0.195,1,0.752
"Selenocompound metabolism",20,1.59,3,0.209,1,0.771
"Glyoxylate and dicarboxylate metabolism",32,2.55,4,0.247,1,0.854
"Pyruvate metabolism",22,1.75,3,0.253,1,0.854
"Glycerophospholipid metabolism",36,2.87,4,0.321,1,1
"Butanoate metabolism",15,1.19,2,0.339,1,1
"Nicotinate and nicotinamide metabolism",15,1.19,2,0.339,1,1
"Lipoic acid metabolism",28,2.23,3,0.388,1,1
"Phosphonate and phosphinate metabolism",6,0.478,1,0.393,1,1
"Nitrogen metabolism",6,0.478,1,0.393,1,1
"Metabolism of xenobiotics by cytochrome P450",68,5.42,6,0.461,1,1
"Ether lipid metabolism",20,1.59,2,0.482,1,1
"Valine, leucine and isoleucine biosynthesis",8,0.637,1,0.486,1,1
"Primary bile acid biosynthesis",46,3.66,4,0.506,1,1
"Fructose and mannose metabolism",21,1.67,2,0.508,1,1
"Pentose phosphate pathway",22,1.75,2,0.534,1,1
"Caffeine metabolism",10,0.797,1,0.565,1,1
"Ascorbate and aldarate metabolism",11,0.876,1,0.6,1,1
"Drug metabolism - other enzymes",39,3.11,3,0.613,1,1
"Folate biosynthesis",26,2.07,2,0.627,1,1
"Tryptophan metabolism",40,3.19,3,0.631,1,1
"Tyrosine metabolism",42,3.35,3,0.664,1,1
"Glycerolipid metabolism",16,1.27,1,0.737,1,1
"Inositol phosphate metabolism",32,2.55,2,0.739,1,1
"Starch and sucrose metabolism",18,1.43,1,0.778,1,1
"Terpenoid backbone biosynthesis",18,1.43,1,0.778,1,1
"Pentose and glucuronate interconversions",19,1.51,1,0.795,1,1
"Ubiquinone and other terpenoid-quinone biosynthesis",20,1.59,1,0.812,1,1
"Propanoate metabolism",22,1.75,1,0.841,1,1
"Biosynthesis of various nucleotide sugars",24,1.91,1,0.866,1,1
"Arachidonic acid metabolism",44,3.5,2,0.879,1,1
"Galactose metabolism",26,2.07,1,0.887,1,1
"One carbon pool by folate",26,2.07,1,0.887,1,1
"Fatty acid biosynthesis",47,3.74,2,0.901,1,1
"Steroid hormone biosynthesis",86,6.85,4,0.925,1,1
"Amino sugar and nucleotide sugar metabolism",31,2.47,1,0.926,1,1
"Porphyrin metabolism",31,2.47,1,0.926,1,1
"Sphingolipid metabolism",33,2.63,1,0.937,1,1
"Drug metabolism - cytochrome P450",55,4.38,2,0.943,1,1
"Fatty acid elongation",38,3.03,1,0.959,1,1
"Fatty acid degradation",39,3.11,1,0.962,1,1
"Valine, leucine and isoleucine degradation",40,3.19,1,0.965,1,1
